country,iso code,observations,inflation,money growth,gdp growth,nominal interest rate,exchange rate depreciation
Mauritius,MUS,34,0.06367,0.1407,0.0499,0.15577,0.03803
Mexico,MEX,22,0.09558,0.15323,0.02404,0.1345,0.07153
"Micronesia, Fed. Sts.",FSM,20,0.02098,0.04488,-0.00187,0.15175,0.0
Moldova,MDA,19,0.11964,0.21277,0.03568,0.21214,0.06388
Mongolia,MNG,22,0.1687,0.27901,0.06424,0.56881,0.09045
Morocco,MAR,14,0.08117,0.13161,0.04837,0.09906,0.05833
Mozambique,MOZ,17,0.06868,0.24271,0.07487,0.19847,0.06256
Myanmar,MMR,14,0.09387,0.11145,0.02711,0.12401,-2e-05
Namibia,NAM,24,0.08407,0.17961,0.04252,0.1401,0.06132
Nepal,NPL,16,0.08712,0.17096,0.0393,0.1217,0.06764
New Zealand,NZL,12,0.02691,0.08678,0.02707,0.069,-0.02767
Nicaragua,NIC,27,0.75046,0.7198,0.03204,40.97034,0.65406
Niger,NER,16,0.03747,0.0544,0.00799,0.1056,0.00498
Nigeria,NGA,45,0.18873,0.23465,0.03725,0.15299,0.13064
Norway,NOR,28,0.04994,0.12282,0.02979,0.10278,0.00879
Oman,OMN,31,0.03798,0.10261,0.04106,0.08199,0.00358
Pakistan,PAK,11,0.11668,0.16867,0.03998,0.11384,0.05667
Panama,PAN,15,0.01119,0.0711,0.03175,0.09621,0.0
Papua New Guinea,PNG,35,0.07141,0.13148,0.03466,0.12241,0.03897
Paraguay,PRY,25,0.09579,0.18235,0.0332,0.28506,0.05517
Peru,PER,29,0.61984,0.68568,0.03405,2.62537,0.54737
Philippines,PHL,39,0.08915,0.14894,0.03625,0.13249,0.04813
Poland,POL,25,0.10757,0.18945,0.03648,0.35927,0.05128
Romania,ROU,21,0.24187,0.31876,0.02876,0.30383,0.16227
Russian Federation,RUS,20,0.19289,0.27593,0.03558,0.36237,0.11865
Rwanda,RWA,16,0.06248,0.07057,0.02334,0.15451,0.03234
Samoa,WSM,13,0.03344,0.10111,0.01927,0.10789,-0.03037
Sao Tome and Principe,STP,15,0.04184,0.27255,0.05094,0.32938,0.06178
Senegal,SEN,16,0.05047,0.04702,0.01929,0.10426,0.00498
Serbia,SRB,18,0.1858,0.2988,0.02457,0.16967,0.17247
Seychelles,SYC,26,0.05859,0.16662,0.03557,0.12878,0.03311
Sierra Leone,SLE,50,0.22825,0.27336,0.02721,0.20848,0.1956
Singapore,SGP,37,0.01959,0.10156,0.06808,0.06614,-0.01611
Slovak Republic,SVK,16,0.05542,0.10839,0.05304,0.11844,-0.02404
Slovenia,SVN,12,0.06163,0.28909,0.04086,0.51236,0.04435
Solomon Islands,SLB,25,0.07271,0.16753,0.03133,0.12624,0.04561
South Africa,ZAF,50,0.10297,0.1346,0.02794,0.12772,0.0571
Sri Lanka,LKA,37,0.10827,0.13767,0.05103,0.14332,0.06077
St. Kitts and Nevis,KNA,34,0.03283,0.1299,0.0404,0.10301,0.0
St. Lucia,LCA,37,0.04177,0.09612,0.03528,0.11244,0.0
St. Vincent and the Grenadines,VCT,38,0.03934,0.0981,0.03463,0.10548,0.0
Suriname,SUR,24,0.39257,0.37896,0.02828,0.18346,0.38688
Swaziland,SWZ,41,0.09483,0.14823,0.05006,0.1295,0.07173
Sweden,SWE,20,0.08562,0.13492,0.02147,0.10951,0.01165
Switzerland,CHE,34,0.01638,0.0645,0.01755,0.04471,-0.02285
Syrian Arab Republic,SYR,30,0.10616,0.14878,0.04247,0.08983,0.0369
Tajikistan,TJK,17,0.17741,0.32807,0.07667,0.21601,0.12255
Thailand,THA,39,0.04296,0.10079,0.05526,0.09977,0.01231
Timor-Leste,TLS,12,0.09955,0.23821,0.09156,0.13675,0.0
Togo,TGO,16,0.04136,0.03039,0.01646,0.10578,0.00498
Tonga,TON,26,0.05618,0.10019,0.01724,0.1079,0.01529
Trinidad and Tobago,TTO,35,0.05013,0.11092,0.02357,0.12115,0.02931
Tunisia,TUN,12,0.08942,0.12542,0.03787,0.08326,0.07785
Uganda,UGA,10,0.88835,0.96409,0.03613,0.22973,1.09591
Ukraine,UKR,22,0.39952,0.41793,-0.00395,0.4623,0.3037
United States,USA,54,0.03442,0.05753,0.0314,0.07323,0.0
Uruguay,URY,39,0.32279,0.37847,0.02603,0.62287,0.26255
Vanuatu,VUT,34,0.03407,0.09859,0.03405,0.10725,0.00304
"Venezuela, RB",VEN,30,0.31304,0.38299,0.02633,0.2478,0.26248
"Yemen, Rep.",YEM,18,0.11833,0.1225,0.03344,0.20713,0.04974
Zambia,ZMB,20,0.25559,0.24498,0.01269,0.24989,-0.15324
Zimbabwe,ZWE,29,-0.0046,-0.14583,0.01269,0.70384,0.55739
