date,1-year actual inflation,1-year inflation forecast,1-year nominal interest rate
1971-01-01,4.24029670890516,3.4059999999999997,4.88
1972-01-01,5.2979357171288,3.4893,4.959999999999998
1973-01-01,8.602685230727909,3.83325,7.3116666666666665
1974-01-01,8.856343580944502,5.819224999999999,8.181666666666667
1975-01-01,5.345447255277501,6.6149249999999995,6.758333333333333
1976-01-01,6.01782293624804,6.086774999999999,5.874166666666667
1977-01-01,6.785945582643246,5.884925000000001,6.088333333333332
1978-01-01,7.931826126009405,6.324575,8.340000000000002
1979-01-01,8.634581547178675,7.59295,10.665000000000001
1980-01-01,8.925476687337536,8.6646,12.048333333333332
1981-01-01,6.018807826428345,8.729,14.77833333333333
1982-01-01,3.8731707374388407,6.6625499999999995,12.274999999999999
1983-01-01,3.4874350701476464,5.091025,9.5725
1984-01-01,3.148273427225237,5.159325000000001,10.887500000000003
1985-01-01,1.9977315042278534,4.237075,8.425833333333335
1986-01-01,2.519578666894135,3.2689000000000004,6.4624999999999995
1987-01-01,3.441796391321729,3.7188499999999998,6.764166666666667
1988-01-01,3.8145381478745377,3.87695,7.6525
1989-01-01,3.630940542695169,4.455875,8.534999999999998
1990-01-01,3.2749724683998,4.051725,7.8825
1991-01-01,2.2542422682622036,3.623625,5.858333333333333
1992-01-01,2.3513690363493467,3.085275,3.8891666666666667
1993-01-01,2.1050813966914967,2.8236999999999997,3.434166666666666
1994-01-01,2.0643350207982114,2.8851,5.31
1995-01-01,1.8089861355174506,2.874925,5.948333333333333
1996-01-01,1.6973990531762413,2.4300249999999997,5.5125
1997-01-01,1.0798786658773725,2.5053,5.63
1998-01-01,1.5177357105334426,2.1533499999999997,5.051666666666667
1999-01-01,2.2501443326888757,1.751275,5.077500000000001
2000-01-01,2.254368265734744,2.0976,6.108333333333333
2001-01-01,1.5226044033722368,2.135,3.4808333333333334
2002-01-01,1.9747518420973609,1.83565,2.0016666666666665
2003-01-01,2.7126282965601787,1.8159,1.2441666666666669
2004-01-01,3.1674357580101544,1.8274000000000001,1.8866666666666667
2005-01-01,3.025894392327686,2.1133,3.6183333333333336
2006-01-01,2.626210644115326,2.2578,4.932499999999999
2007-01-01,1.94224323646333,2.240125,4.5216666666666665
2008-01-01,0.7568569499952238,2.2766,1.8225
2009-01-01,1.2136059219499356,1.530275,0.4708333333333334
2010-01-01,2.0437611211988416,1.542925,0.3183333333333333
2011-01-01,1.8252514877601655,1.6713999999999998,0.18166666666666667
2012-01-01,1.61686915151889,1.868725,0.17499999999999996
2013-01-01,1.6297928171819305,1.9002500000000002,0.13166666666666668
