,deflator inflation - 3mo forecast,deflator inflation - 3mo actual,nominal interest - 3mo
1970-01-01,3.0303030303030276,5.579036348267152,7.21
1970-04-01,2.985074626865636,3.279144087814334,6.676666666666667
1970-07-01,2.962962962962923,5.292171995589889,6.326666666666667
1970-10-01,3.650967506389158,6.075444323540058,5.353333333333334
1971-01-01,3.4582132564841217,5.252110222857365,3.84
1971-04-01,3.9857651245552184,4.073176107560084,4.25
1971-07-01,3.623693379790982,3.333915168441237,5.010000000000001
1971-10-01,3.3496161898115773,6.076080841303444,4.2299999999999995
1972-01-01,3.3310201249133087,2.4895558018586783,3.436666666666667
1972-04-01,3.283173734610134,3.8298593458735652,3.77
1972-07-01,3.408316291751845,5.102811582039468,4.22
1972-10-01,4.073319755600835,4.607607524653989,4.863333333333333
1973-01-01,3.4922766957689255,6.144519088972622,5.7
1973-04-01,4.235605559232258,7.7944083592205615,6.603333333333334
1973-07-01,4.86867392696988,7.962010288880084,8.323333333333332
1973-10-01,5.841269841269892,7.558297443060624,7.5
1974-01-01,6.459627329192497,9.444021325209384,7.616666666666667
1974-04-01,6.517803258901633,11.726190476190457,8.153333333333334
1974-07-01,7.859237536656849,11.768107561081376,8.19
1974-10-01,8.7301587301587,9.086440558949516,7.359999999999999
1975-01-01,8.149779735682827,5.94596450272924,5.75
1975-04-01,5.863192182410426,7.063121574994913,5.3933333333333335
1975-07-01,5.99892876272099,6.6879404334530435,6.330000000000001
1975-10-01,5.812417437252293,4.237094190342283,5.626666666666668
1976-01-01,6.106870229007644,4.024457312930707,4.916666666666667
1976-04-01,5.748865355521993,5.175837550445195,5.156666666666667
1976-07-01,5.794947994056532,7.15866691962308,5.15
1976-10-01,5.728975394785163,6.448807157057601,4.673333333333333
1977-01-01,5.354558610709148,5.63724740912841,4.63
1977-04-01,5.982905982905962,4.8715784396478945,4.84
1977-07-01,6.460674157303359,8.637121753633537,5.496666666666666
1977-10-01,5.817174515235468,5.819072330252695,6.109999999999999
1978-01-01,6.143344709897569,7.64367816091962,6.3933333333333335
1978-04-01,6.298157453936337,6.789792753418844,6.476666666666667
1978-07-01,6.775244299674288,8.195857709263255,7.313333333333333
1978-10-01,6.773162939297173,7.2814215073629285,8.57
1979-01-01,7.5140889167188085,9.798270893371708,9.383333333333335
1979-04-01,8.20324456688093,8.751367401156429,9.376666666666667
1979-07-01,8.353221957040535,7.422133863485758,9.673333333333332
1979-10-01,7.953216374269001,8.397978079175239,11.843333333333334
1980-01-01,8.695652173912993,9.519374525134161,13.353333333333333
1980-04-01,9.401231113598207,8.934214306233823,9.616666666666667
1980-07-01,9.317621266100318,10.425008781173162,9.153333333333334
1980-10-01,9.826435246996024,10.534483545574869,13.613333333333335
1981-01-01,9.247940473026794,7.924931068220253,14.39
1981-04-01,8.235600729736792,7.526764494254667,14.906666666666666
1981-07-01,8.213552361396292,6.916919916106679,15.053333333333333
1981-10-01,7.418546365914747,5.503429124416215,11.75
1982-01-01,6.206896551724128,5.196314435129068,12.813333333333333
1982-04-01,5.772994129158526,5.670504363502271,12.42
1982-07-01,5.9216809933142045,4.144952127014889,9.316666666666668
1982-10-01,5.4950260540028495,3.022851316499775,7.906666666666667
1983-01-01,4.508100493073464,2.96843066055521,8.106666666666667
1983-04-01,4.267161410018616,4.254397195249293,8.396666666666667
1983-07-01,4.604051565377532,3.0324881604334664,9.14
1983-10-01,5.669867398262518,4.046421663442867,8.799999999999999
1984-01-01,4.615384615384599,3.4237787947839493,9.17
1984-04-01,5.381165919282527,3.554205430036017,9.796666666666667
1984-07-01,4.010695187165769,2.995972750197584,10.32
1984-10-01,4.2365401588702944,3.95248057381945,8.803333333333335
1985-01-01,3.422553751645463,2.574678627577942,8.183333333333334
1985-04-01,4.0692640692640225,2.4111885027474855,7.46
1985-07-01,3.6113499570077146,2.235983997369395,7.1066666666666665
1985-10-01,3.9316239316239177,1.991025850636774,7.166666666666667
1986-01-01,2.456140350877245,1.5184107301024596,6.896666666666666
1986-04-01,2.8021015761821033,1.635122724244109,6.140000000000001
1986-07-01,1.7436791630339954,2.180852971770797,5.523333333333333
1986-10-01,2.938634399308526,2.5400449502336997,5.353333333333333
1987-01-01,3.273040482342804,2.7721649119075487,5.536666666666666
1987-04-01,3.7478705281089653,3.027689274586809,5.656666666666666
1987-07-01,4.057480980557937,3.1866384807561765,6.043333333333334
1987-10-01,3.367003367003374,3.1337204263801155,5.863333333333333
1988-01-01,3.343083994985374,3.893580064319746,5.723333333333333
1988-04-01,3.6529680365296358,4.782586479995921,6.21
1988-07-01,3.9376538146020934,3.4604056214760703,7.010000000000001
1988-10-01,4.5307443365696365,4.16492849872343,7.726666666666667
1989-01-01,3.8369304556354678,4.260730269350876,8.54
1989-04-01,4.41988950276242,2.9216641066701854,8.409999999999998
1989-07-01,4.39905734485464,2.8485684159298863,7.843333333333334
1989-10-01,4.0625000000000355,4.316732169318982,7.653333333333333
1990-01-01,3.712296983758634,4.4809892596488154,7.760000000000001
1990-04-01,3.6641221374045685,3.429093717005216,7.746666666666667
1990-07-01,4.535147392290284,2.9749535163513308,7.476666666666667
1990-10-01,4.638982416760129,3.9207779518277697,6.989999999999999
1991-01-01,3.866171003717511,2.9366139857777362,6.023333333333333
1991-04-01,3.52941176470587,3.1225700214982055,5.56
1991-07-01,3.206997084548213,2.3782508056097384,5.376666666666666
1991-10-01,3.1930333817125955,1.4858930397641856,4.54
1992-01-01,2.9643103767706513,2.4033923193335305,3.893333333333333
1992-04-01,2.7372765936113375,1.9541257074769725,3.6799999999999997
1992-07-01,2.7256902909658542,2.750933776012321,3.0833333333333335
1992-10-01,2.6229508196720985,2.2434198904787372,3.0700000000000003
1993-01-01,2.4774976946867255,2.377292755405236,2.9599999999999995
1993-04-01,2.5185700083251383,2.3807098473493937,2.966666666666667
1993-07-01,2.8915662650602414,2.18146047911123,3.003333333333334
1993-10-01,2.553870710295314,1.9106539097907493,3.06
1994-01-01,2.6557468294040376,1.9302089150450286,3.2433333333333336
1994-04-01,2.718507981665841,2.297147091515317,3.986666666666667
1994-07-01,3.075709779179814,2.170678833047557,4.476666666666667
1994-10-01,3.1421838177533523,2.164599774520859,5.28
1995-01-01,2.5019546520718805,1.9230769230769162,5.736666666666667
1995-04-01,2.801556420233453,1.9696737204793813,5.596666666666667
1995-07-01,2.4752898061230155,1.9267073847862193,5.366666666666667
1995-10-01,2.3186832360752696,1.928523077348121,5.260000000000001
1996-01-01,2.242343468762442,1.6553013638363367,4.93
1996-04-01,2.3657870791628177,1.3089256130453641,5.02
1996-07-01,2.1758839528558838,2.1398547955675085,5.096666666666667
1996-10-01,2.529358626919631,2.383667263940925,4.976666666666667
1997-01-01,2.515723270440251,0.8096401149689569,5.06
1997-04-01,2.338241856314127,1.7345166112285426,5.046666666666667
1997-07-01,2.3880702937185028,1.3140428270693505,5.046666666666667
1997-10-01,2.2508833922261218,0.5827007377313009,5.09
1998-01-01,2.0341190030001677,0.9448440606941944,5.053333333333334
1998-04-01,1.9234657547492873,1.7201437891093185,4.976666666666667
1998-07-01,1.7306891756640574,1.102965545583512,4.823333333333333
1998-10-01,1.6290256324179353,1.5071191549556495,4.253333333333334
1999-01-01,1.311845399724909,1.4487790743618056,4.406666666666667
1999-04-01,1.5146855973079631,1.3700607603575499,4.453333333333333
1999-07-01,1.6323962493336452,2.1500876252256163,4.6499999999999995
1999-10-01,1.7671755725190863,2.7213716129200094,5.043333333333333
2000-01-01,1.696394686906988,2.4238978758591934,5.5200000000000005
2000-04-01,2.043192488262857,2.280870737815466,5.713333333333334
2000-07-01,2.2346368715083997,2.114699459832181,6.016666666666667
2000-10-01,2.224281742353984,2.444012550334662,6.016666666666667
2001-01-01,1.881918819188133,2.4190697439523845,4.816666666666667
2001-04-01,1.831501831501825,1.6113851135123092,3.66
2001-07-01,1.9587746270356199,1.3199340032998386,3.17
2001-10-01,1.8148820326678639,1.320576070164936,1.906666666666667
2002-01-01,1.470121148872483,1.430469496976361,1.72
2002-04-01,1.6927672671313232,1.846054861978974,1.7133333333333332
2002-07-01,1.8034265103697322,2.2661773037416566,1.6433333333333333
2002-10-01,1.9486239191788712,1.8174247434296298,1.3333333333333333
2003-01-01,1.738943752683575,1.1752514477293197,1.1566666666666665
2003-04-01,1.6866826794768919,2.168575110008941,1.04
2003-07-01,1.4889704249251068,2.3648321887996815,0.93
2003-10-01,1.7683465959327904,2.975925770122956,0.9166666666666666
2004-01-01,1.3930479024491405,3.2641374373658216,0.9166666666666666
2004-04-01,1.6726437166552977,2.6128940641862997,1.0766666666666667
