country_code,country,gdp,labor,human_capital,physical_capital
ALB,Albania,36103.04296875,1.0758976936340332,2.964992046356201,229818.34375
DZA,Algeria,507487.5625,11.273453712463379,2.383965492248535,2487455.5
AGO,Angola,227855.71875,16.644962310791016,1.4819843769073486,1371321.375
ARG,Argentina,977420.5625,20.64321517944336,3.09680438041687,3374818.75
ARM,Armenia,43582.57421875,0.966090977191925,3.1359946727752686,98945.8828125
AUS,Australia,1364677.75,12.863174438476562,3.549666166305542,5899093.5
AUT,Austria,477705.5,4.550281047821045,3.3810462951660156,2875460.0
BHR,Bahrain,77077.609375,0.7436636090278625,2.2295069694519043,428701.65625
BGD,Bangladesh,759470.625,65.53406524658203,2.101790428161621,2843306.5
BRB,Barbados,3506.66796875,0.13225862383842468,2.8460724353790283,33888.2109375
BEL,Belgium,517419.75,4.921936511993408,3.149034023284912,3496175.75
BLZ,Belize,2186.921630859375,0.1585184782743454,3.612769603729248,9956.2080078125
BEN,Benin,38295.49609375,4.300300598144531,1.918609619140625,88006.9453125
BOL,Bolivia (Plurinational State of),98835.7109375,5.543825626373291,2.966043710708618,215585.53125
BWA,Botswana,37975.0078125,0.9215958118438721,2.9388160705566406,186374.640625
BRA,Brazil,3080048.5,93.95682525634766,3.0913732051849365,13677292.0
BRN,Brunei Darussalam,31737.7734375,0.22235803306102753,2.798208236694336,200159.765625
BGR,Bulgaria,149432.421875,3.4204185009002686,3.1860151290893555,458279.15625
BFA,Burkina Faso,43084.15234375,6.958755970001221,1.2862424850463867,86375.109375
BDI,Burundi,9109.6884765625,5.0035881996154785,1.4165260791778564,18806.5859375
KHM,Cambodia,74190.3046875,8.731463432312012,1.9636757373809814,210421.96875
CMR,Cameroon,94487.5234375,10.365276336669922,1.895813226699829,249906.453125
CAN,Canada,1866214.875,19.298662185668945,3.7210659980773926,8721110.0
CAF,Central African Republic,4642.44873046875,1.8443279266357422,1.5616270303726196,31822.447265625
CHL,Chile,440683.34375,8.100071907043457,3.145768880844116,2075795.25
CHN,China,20257660.0,798.8077392578125,2.6989870071411133,81598696.0
HKG,"China, Hong Kong SAR",407575.75,3.8638103008270264,3.267883777618408,2566180.5
MAC,"China, Macao SAR",59874.1640625,0.387800008058548,2.9624180793762207,216005.09375
COL,Colombia,707659.625,21.199607849121094,2.5987870693206787,2194572.75
COG,Congo,25057.650390625,2.01545786857605,2.0449585914611816,141415.140625
CRI,Costa Rica,93491.828125,2.2563555240631104,2.6947717666625977,236104.796875
CIV,Cote d'Ivoire,129491.7734375,7.510223865509033,1.6955418586730957,255208.828125
HRV,Croatia,107392.0390625,1.8176243305206299,3.6189019680023193,602383.3125
CYP,Cyprus,28053.96875,0.3665671646595001,2.9043920040130615,214205.09375
CZE,Czech Republic,401072.21875,5.4814324378967285,3.674304246902466,2375330.5
COD,D.R. of the Congo,88673.375,25.139930725097656,1.6790573596954346,270620.84375
DNK,Denmark,311838.0,2.971836566925049,3.5992648601531982,1594880.0
DOM,Dominican Republic,192514.5,5.126679420471191,2.7671539783477783,774569.0
ECU,Ecuador,195204.015625,8.246670722961426,2.762469530105591,1162897.25
EGY,Egypt,1210669.75,26.794647216796875,2.676786422729492,1822150.375
