Year,GDP Growth,Consumption Growth,Investment Growth,Government Purchases Growth,Exports Growth,Imports Growth,Capital Growth,Labor Growth
1990-04-01,2.4,2.6,-2.3,3.5,3.7,-0.4,3.4,0.1
1990-07-01,1.7,2.6,-3.3,2.7,4.9,3.8,3.3,-0.7
1990-10-01,0.6,1.9,-8.8,3.4,6.0,4.1,3.2,-1.1
1991-01-01,-1.0,-0.1,-12.6,2.1,2.6,-4.7,3.0,-2.4
1991-04-01,-0.5,0.4,-12.4,1.9,4.6,-3.4,2.8,-2.6
1991-07-01,-0.1,0.0,-8.7,1.8,4.6,-4.6,2.6,-2.2
1991-10-01,1.2,0.3,0.2,0.1,4.9,-4.5,2.5,-1.9
1992-01-01,2.8,3.2,1.0,0.8,6.2,1.6,2.5,-1.5
1992-04-01,3.1,3.3,6.6,0.6,3.5,4.7,2.4,-0.5
1992-07-01,3.6,4.1,5.7,1.5,4.2,6.6,2.5,-0.2
1992-10-01,4.3,5.3,5.6,1.9,2.0,5.4,2.5,0.6
1993-01-01,3.3,3.6,10.1,-0.4,0.6,5.6,2.6,2.1
1993-04-01,2.8,3.8,5.4,-0.5,1.9,6.0,2.7,2.8
1993-07-01,2.3,3.5,4.3,-1.4,-0.6,3.5,2.7,3.2
1993-10-01,2.6,3.3,6.3,-0.9,2.3,5.6,2.7,3.6
1994-01-01,3.4,3.9,8.1,-0.6,3.5,6.4,2.8,3.3
1994-04-01,4.1,3.7,12.4,0.1,5.8,8.7,2.8,3.7
1994-07-01,4.2,3.7,11.2,1.9,10.3,12.7,3.0,4.3
1994-10-01,4.0,3.8,10.5,0.9,10.1,12.3,3.1,3.8
1995-01-01,3.4,3.0,7.8,2.4,11.6,13.1,3.2,3.7
1995-04-01,2.4,3.1,0.9,2.3,10.1,10.9,3.2,1.9
1995-07-01,2.6,3.0,2.0,0.2,10.0,6.2,3.2,1.9
1995-10-01,2.2,2.6,0.1,0.0,8.1,3.5,3.2,1.7
1996-01-01,2.6,3.4,0.1,0.4,6.2,3.5,3.1,1.4
1996-04-01,3.9,3.8,6.5,0.5,5.4,2.9,3.1,2.5
1996-07-01,4.0,3.7,10.6,1.1,1.6,5.5,3.2,2.2
1996-10-01,4.3,4.0,8.6,2.6,5.6,7.0,3.3,3.1
1997-01-01,4.2,3.9,9.8,1.1,6.1,7.4,3.3,3.8
1997-04-01,4.2,3.0,9.8,2.0,8.9,7.1,3.4,3.3
1997-07-01,4.6,3.9,8.0,2.1,10.7,7.7,3.5,3.0
1997-10-01,4.4,4.1,9.0,2.3,5.3,7.4,3.6,2.4
1998-01-01,4.7,4.1,10.6,2.3,3.6,5.6,3.7,2.1
1998-04-01,4.0,5.3,5.3,2.7,-1.9,5.4,3.8,2.2
1998-07-01,4.0,4.9,5.8,3.4,-5.2,2.4,3.8,1.7
1998-10-01,4.8,5.2,7.8,3.4,-1.3,4.3,3.8,2.5
1999-01-01,4.7,5.1,6.6,4.9,-1.4,5.0,3.9,1.7
1999-04-01,4.6,5.1,7.2,4.1,1.3,7.9,3.9,1.8
1999-07-01,4.6,5.2,7.0,5.0,5.7,12.8,4.0,2.3
1999-10-01,4.7,5.3,6.7,6.3,5.0,13.2,4.0,1.5
2000-01-01,4.1,6.1,3.2,5.1,7.2,16.5,4.1,2.1
2000-04-01,5.2,5.3,9.4,5.1,9.4,15.3,4.1,1.8
2000-07-01,4.0,5.0,6.0,3.1,9.0,14.4,4.2,1.2
2000-10-01,2.9,4.4,3.3,2.0,5.3,10.9,4.2,0.4
2001-01-01,2.3,3.2,-1.3,3.9,1.5,3.2,4.2,-0.2
2001-04-01,1.1,2.5,-7.4,4.3,-6.0,-5.1,4.1,-1.5
2001-07-01,0.5,1.5,-7.9,4.2,-14.2,-12.6,3.9,-2.6
2001-10-01,0.2,1.8,-13.0,4.8,-17.4,-16.5,3.7,-3.4
2002-01-01,1.3,1.5,-4.7,5.1,-13.7,-11.7,3.5,-4.2
2002-04-01,1.3,2.3,-3.5,4.9,-6.2,-0.8,3.3,-2.9
2002-07-01,2.2,3.0,-2.1,5.8,0.6,4.7,3.2,-2.1
2002-10-01,2.1,2.3,3.2,5.5,3.3,10.7,3.2,-0.8
2003-01-01,1.8,2.8,0.6,4.5,2.0,10.1,3.2,-0.5
2003-04-01,2.0,2.8,0.2,4.1,-1.4,4.4,3.1,-1.0
2003-07-01,3.2,3.6,3.7,3.7,0.2,4.1,3.1,-0.6
2003-10-01,4.2,3.6,7.4,3.1,6.5,5.4,3.1,-0.2
2004-01-01,4.2,3.9,7.3,3.0,9.9,8.7,3.2,0.8
2004-04-01,4.1,3.5,11.0,2.7,12.0,13.6,3.2,1.1
2004-07-01,3.4,3.0,9.8,3.1,10.2,13.9,3.3,1.6
2004-10-01,3.2,3.6,8.5,3.0,8.4,14.7,3.4,1.7
2005-01-01,3.8,3.0,11.3,2.9,7.6,10.9,3.5,1.4
2005-04-01,3.5,3.5,6.1,2.6,7.5,8.3,3.6,1.9
2005-07-01,3.4,3.7,5.6,2.5,6.8,8.3,3.7,1.6
2005-10-01,3.1,2.8,7.0,2.5,7.0,8.4,3.7,1.7
2006-01-01,3.3,3.4,5.5,3.0,8.0,9.1,3.7,2.4
2006-04-01,3.1,2.8,5.8,3.0,8.7,8.8,3.8,2.1
2006-07-01,2.3,2.3,3.8,2.3,9.2,8.3,3.8,2.4
2006-10-01,2.6,2.4,-1.5,3.0,10.3,2.9,3.8,2.1
2007-01-01,1.5,2.0,-4.6,2.3,8.1,2.1,3.7,1.2
2007-04-01,1.8,1.9,-3.1,3.2,7.8,2.3,3.6,1.3
2007-07-01,2.2,1.9,-3.4,4.1,10.5,2.4,3.5,0.4
2007-10-01,2.0,2.3,-3.8,4.3,10.9,6.1,3.4,-0.2
2008-01-01,1.1,2.0,-5.8,4.8,11.9,9.0,3.3,-0.5
2008-04-01,1.1,2.3,-7.9,5.2,14.5,10.7,3.2,-1.4
2008-07-01,0.0,1.3,-9.3,5.4,11.2,9.6,3.0,-2.2
2008-10-01,-2.8,-2.4,-15.5,3.3,-5.1,-8.4,2.8,-4.4
2009-01-01,-3.3,-3.4,-25.7,2.1,-19.5,-31.1,2.6,-6.7
2009-04-01,-4.0,-3.9,-31.9,2.3,-23.8,-37.2,2.3,-8.5
2009-07-01,-3.1,-2.1,-30.8,1.7,-19.1,-30.2,1.9,-8.5
2009-10-01,0.2,0.9,-14.7,2.9,-0.4,-7.5,1.6,-6.0
2010-01-01,1.7,2.3,0.6,3.1,13.7,15.2,1.4,-3.4
2010-04-01,2.8,2.6,13.1,2.0,16.4,21.5,1.4,-0.3
2010-07-01,3.1,1.9,18.1,0.9,14.6,17.1,1.5,1.4
2010-10-01,2.5,2.3,9.8,-0.1,12.5,12.5,1.7,1.8
2011-01-01,1.9,2.5,6.1,-1.1,13.2,12.9,1.7,2.0
2011-04-01,1.7,2.6,4.6,-1.9,13.1,12.2,1.8,2.0
2011-07-01,0.9,2.2,1.4,-3.0,11.3,9.8,1.8,1.9
2011-10-01,1.6,1.9,9.2,-3.0,6.6,8.1,1.8,2.1
2012-01-01,2.6,2.0,13.1,-2.4,4.3,4.9,1.9,2.8
2012-04-01,2.3,1.5,12.0,-3.0,2.2,1.3,2.0,2.1
2012-07-01,2.5,1.2,11.3,-1.6,1.2,-0.6,2.1,2.2
2012-10-01,1.5,1.3,3.2,-2.0,1.1,-1.8,2.2,1.9
2013-01-01,1.6,0.9,4.6,-2.4,1.6,-2.7,2.2,1.5
2013-04-01,1.3,0.8,3.4,-1.7,0.9,-2.2,2.3,1.7
2013-07-01,1.9,1.2,6.9,-1.9,1.4,-0.8,2.3,1.8
2013-10-01,2.6,1.3,8.1,-1.6,3.9,-0.6,2.3,1.7
2014-01-01,1.4,1.4,4.1,-1.3,2.6,1.6,2.4,1.7
2014-04-01,2.6,2.4,6.7,-1.5,3.8,2.8,2.4,2.1
2014-07-01,3.0,3.0,5.3,-0.3,3.1,1.9,2.5,2.2
2014-10-01,2.7,3.2,5.5,-0.1,-0.1,2.5,2.5,2.9
2015-01-01,3.7,3.2,9.1,0.3,-3.4,-2.4,2.5,2.7
2015-04-01,3.3,3.0,5.2,1.6,-4.7,-4.4,2.6,2.5
2015-07-01,2.4,2.7,3.1,1.0,-6.6,-4.0,2.7,1.8
2015-10-01,2.0,2.4,0.7,1.2,-7.9,-6.6,2.7,1.5
2016-01-01,1.5,2.6,-3.2,1.4,-6.3,-5.6,2.6,1.5
2016-04-01,1.3,2.6,-3.3,0.3,-5.3,-4.6,2.6,1.4
2016-07-01,1.5,2.7,-3.3,0.3,-1.3,-2.4,2.5,1.7
2016-10-01,1.9,2.8,0.1,0.6,0.1,1.2,2.4,1.1
2017-01-01,1.9,2.5,2.2,0.4,3.7,4.5,2.4,1.2
2017-04-01,2.1,2.4,4.0,0.8,3.2,4.9,2.4,1.4
2017-07-01,2.3,2.1,6.0,0.4,2.8,3.8,2.4,1.5
2017-10-01,2.4,2.5,4.5,0.9,6.0,6.1,2.5,2.1
2018-01-01,2.5,2.3,5.8,1.3,5.8,6.3,2.5,2.2
2018-04-01,2.8,2.3,4.5,1.8,7.9,5.2,2.5,2.2
2018-07-01,3.0,2.7,6.0,2.8,5.0,6.7,2.5,2.4
2018-10-01,2.9,2.2,6.9,2.2,2.2,3.0,2.6,1.9
