hpi,cpi (1982-1984=100),pce (2012=100),real hpi (cpi),real hpi (pce)
15.088699539776464,29.01,16.042,52.012063218808905,94.05747126154134
15.072136752136753,28.98,16.1,52.00875345802882,93.61575622445187
15.088699539776464,29.15,16.189,51.76226257213196,93.20340687983484
15.188076265614729,29.35,16.294,51.74813037688153,93.21269341852663
15.188076265614729,29.37,16.314,51.7128916091751,93.09842016436637
15.188076265614729,29.54,16.4,51.41528864459962,92.61022113179713
15.121825115055884,29.55,16.453,51.17368905264259,91.90922698022175
15.304015779092703,29.75,16.51,51.44206984568975,92.69543173284495
15.25432741617357,29.84,16.571,51.12040018824923,92.05435650337076
15.188076265614729,29.81,16.568,50.94960169612456,91.67115080646262
15.270890203813282,29.92,16.621,51.0390715368091,91.87708443422949
15.28745299145299,29.98,16.652,50.99217141912272,91.80550679469728
15.419955292570677,30.04,16.689,51.33140909644034,92.39592122098794
15.386829717291256,30.21,16.775,50.9329020764358,91.72476731619228
15.486206443129522,30.22,16.787,51.244892267139385,92.25118510233825
15.436518080210389,30.38,16.876,50.81144858528766,91.47024223874371
15.46964365548981,30.44,16.923,50.82011713367217,91.41194620037707
15.618708744247206,30.48,16.927,51.242482756716555,92.27097976160694
15.618708744247206,30.69,17.025,50.891849932379294,91.73984578118771
15.618708744247206,30.75,17.078,50.792548761779535,91.4551396196698
15.784336620644313,30.94,17.163,51.01595546426733,91.96723545210227
15.784336620644313,30.95,17.211,50.99947211839842,91.71074673548495
15.800899408284025,31.02,17.259,50.93778016854941,91.55165078094922
15.93340170940171,31.12,17.31,51.19987695823171,92.04738133680944
16.082466798159107,31.28,17.378,51.41453579974139,92.54498099987978
15.999652859960552,31.38,17.435,50.986784129893415,91.76743825615459
16.016215647600266,31.58,17.538,50.716325673211735,91.32293105029231
16.115592373438528,31.65,17.556,50.91814335999535,91.79535414353228
16.297783037475348,31.88,17.67,51.12228054415103,92.23419941978125
16.281220249835634,32.28,17.848,50.43748528449701,91.22153882695896
16.36403418803419,32.45,17.949,50.428456665744804,91.16961495366978
16.3805969756739,32.85,18.123,49.86483097617625,90.38568104438502
16.44684812623274,32.9,18.188,49.990419836573686,90.42691954163593
16.39715976331361,33.1,18.249,49.53824701907435,89.85237417564585
16.529662064431296,33.4,18.405,49.49000618093203,89.81071482983589
16.695289940828403,33.7,18.57,49.54091970572226,89.90463080683038
16.81122945430638,34.1,18.748,49.29979312113307,89.6694551648516
16.86091781722551,34.4,18.945,49.01429598030671,88.99930228147537
17.00998290598291,34.9,19.134,48.739206034334984,88.89925214791946
17.175610782380016,35.3,19.364,48.65612119654396,88.69867167103912
17.60624326101249,35.7,19.546,49.31720801404059,90.0759401463854
17.854685075608153,36.3,19.774,49.18646026338334,90.29374469307247
18.152815253122945,36.8,20.037,49.328302318268875,90.59647279095147
18.550322156476003,37.3,20.245,49.73276717553889,91.62915365016548
18.93126627218935,37.9,20.499,49.95057063902203,92.35214533484243
19.245959237343854,38.5,20.736,49.98950451258144,92.8142324331783
19.57721499013807,38.9,20.932,50.32703082297705,93.52768483727341
20.057535831689677,39.4,21.185,50.90745134946618,94.67800723006692
20.339103221564763,39.9,21.408,50.97519604402196,95.00702177487277
20.355666009204473,40.1,21.626,50.76225937457475,94.12589479887392
20.75317291255753,40.6,21.879,51.11618943979688,94.85430281346282
20.935363576594348,40.9,22.009,51.18670801123313,95.12183005404312
21.216930966469427,41.2,22.232,51.49740525842093,95.43419830185961
21.28318211702827,41.5,22.386,51.28477618561029,95.07362689640075
21.69725180802104,41.8,22.549,51.90730097612689,96.22267864659648
21.746940170940174,42.2,22.741,51.533033580426945,95.62877697084637
21.73037738330046,42.7,22.951,50.89081354402918,94.68161467169386
21.746940170940174,43.7,23.408,49.76416515089284,92.90387974598502
21.829754109138726,44.2,23.744,49.388583957327434,91.9379805809414
22.276949375410915,45.6,24.249,48.85295915660288,91.8674971149776
22.707581854043394,46.8,24.885,48.52047404710127,91.25007777393367
23.221028270874424,48.1,25.647,48.27656605171398,90.54091422339621
23.58540959894806,49.3,26.312,47.840587421801345,89.63746427085763
24.23135831689678,51.0,27.056,47.51246728803291,89.56001743382902
25.268,52.3,27.645,48.313575525812624,91.40170012660518
25.406,53.0,27.984,47.93584905660377,90.78759291023441
25.613,54.0,28.514,47.43148148148148,89.82605036122607
26.207,54.9,28.946,47.735883424408016,90.53755268430871
26.598,55.8,29.405,47.66666666666667,90.45400442101683
27.146,56.1,29.553,48.38859180035651,91.85531079755016
27.763,57.0,29.975,48.707017543859656,92.62051709758133
28.239,57.9,30.469,48.77202072538861,92.68108569365585
28.881,58.7,30.957,49.20102214650766,93.29392382982847
30.162,60.0,31.538,50.27,95.63700932208764
31.077,60.8,32.041,51.113486842105274,96.9913548266284
32.21,61.6,32.461,52.288961038961034,99.22676442500233
33.165,62.7,33.0,52.89473684210526,100.49999999999999
34.448,63.9,33.621,53.90923317683881,102.45977216620562
35.946,65.5,34.269,54.8793893129771,104.8936356473781
37.164,67.1,34.913,55.38599105812221,106.44745510268383
38.502,68.5,35.542,56.207299270072994,108.32817511676328
40.018,70.6,36.386,56.68271954674221,109.98186115538944
41.513,73.0,37.349,56.86712328767123,111.14889287531126
42.657,75.2,38.276,56.72473404255318,111.44581460967706
43.442,78.0,39.273,55.694871794871794,110.61543554095688
44.482,80.9,40.396,54.98393077873918,110.11486285770869
45.382,82.6,41.285,54.941888619854716,109.9237011020952
46.05,84.7,42.351,54.36835891381345,108.73415031522278
46.565,87.2,43.386,53.40022935779815,107.32724842114966
47.451,89.1,44.323,53.255892255892256,107.05728402860817
48.337,91.5,44.969,52.82732240437159,107.48960394938736
48.74,93.4,45.73,52.18415417558886,106.5821123988629
48.816,94.4,46.392,51.71186440677966,105.22503879979305
48.93,95.0,46.675,51.50526315789473,104.83128012854847
48.977,97.5,47.572,50.23282051282051,102.95341797696122
48.972,98.1,48.121,49.92048929663609,101.76845867708484
49.223,97.9,48.564,50.27885597548518,101.35697224281361
49.941,98.8,48.931,50.547570850202426,102.0641311234187
50.726,99.8,49.53,50.827655310621246,102.41469816272965
51.184,100.8,50.002,50.77777777777778,102.36390544378224
51.539,102.1,50.318,50.47894221351616,102.42656703366589
52.231,103.3,51.016,50.56243949661181,102.3816057707386
53.156,104.1,51.354,51.062439961575414,103.50897690540172
53.667,105.1,51.704,51.0627973358706,103.79661148073652
53.978,105.7,52.182,51.06717123935667,103.4417998543559
54.901,107.0,52.706,51.30934579439253,104.16461123970706
56.118,107.7,53.104,52.1058495821727,105.67565531786683
57.192,108.5,53.459,52.71152073732719,106.98292149123627
58.159,109.9,54.042,52.91992720655141,107.61814884719291
59.487,108.7,53.813,54.725850965961364,110.54392061397805
61.253,109.5,54.126,55.93881278538812,113.16742415844512
62.592,110.2,54.469,56.79854809437387,114.91306981953038
63.733999999999995,111.4,54.895,57.21184919210053,116.10164860187628
64.975,112.7,55.439,57.65306122448979,117.20088746189505
66.785,113.8,55.919,58.68629173989455,119.43167796276757
67.9,115.0,56.508,59.04347826086958,120.15997734834005
68.582,116.0,56.941,59.12241379310345,120.44396831808362
69.78699999999999,117.2,57.499,59.545221843003404,121.37080644880778
71.684,118.5,58.193,60.49282700421941,123.18320072860998
72.82300000000001,119.9,58.841,60.736447039199334,123.7623425842525
73.617,121.2,59.465,60.740099009900995,123.79887328680736
74.869,123.1,60.284,60.81965881397239,124.19381593789399
76.042,124.5,60.782,61.077911646586344,125.10611694251588
76.49,125.4,61.162,60.996810207336516,125.06131257970634
76.527,127.5,61.939,60.02117647058823,123.55220458838534
77.039,128.9,62.577,59.76648564778898,123.11072758361699
77.558,130.5,63.151,59.431417624521075,122.81357381514148
76.91,133.4,64.327,57.65367316341828,119.5609930511294
75.532,134.7,64.714,56.07423904974016,116.71663009549711
75.317,135.1,64.878,55.749074759437455,116.09020006781958
76.515,136.2,65.36,56.178414096916306,117.0670134638923
76.286,137.2,65.86,55.602040816326536,115.83054965077437
75.70100000000001,138.3,66.26,54.73680404916848,114.24841533353455
76.082,139.4,66.769,54.578192252510746,113.94808968233758
76.71300000000001,140.5,67.197,54.6,114.16134648868254
76.59899999999999,141.7,67.635,54.05716302046577,113.25349301397203
76.39699999999999,142.8,68.052,53.49929971988795,112.26268147886908
76.663,143.8,68.475,53.312239221140466,111.9576487769259
77.887,144.5,68.82,53.90103806228373,113.17494914269108
78.173,145.6,69.227,53.690247252747255,112.92270356941656
78.2,146.3,69.397,53.45181134654818,112.68498638269666
78.704,147.2,69.832,53.46739130434782,112.70477717951654
80.065,148.4,70.325,53.9521563342318,113.84998222538213
80.306,149.4,70.684,53.752342704149925,113.61269877199933
80.029,150.5,71.008,53.175415282392024,112.70420234339792
80.373,151.8,71.453,52.94664031620553,112.48373056414707
81.415,152.6,71.722,53.351900393184806,113.51468168762725
81.73,153.5,72.113,53.244299674267104,113.33601431087321
81.43,154.7,72.41,52.63736263736265,112.4568429774893
82.12799999999999,156.1,72.961,52.612427930813574,112.56424665232107
83.42200000000001,157.0,73.241,53.13503184713376,113.90068404309064
83.633,158.2,73.74,52.8653603034134,113.41605641442906
83.53399999999999,159.4,74.052,52.40526976160601,112.80451574569219
84.324,159.9,74.359,52.73545966228893,113.4012022754475
85.84299999999999,160.4,74.464,53.51807980049874,115.28120971207562
86.41,161.5,74.801,53.5046439628483,115.51984599136374
87.166,162.0,74.825,53.806172839506175,116.49315068493149
88.561,162.2,74.891,54.59987669543774,118.253194642881
90.86200000000001,163.2,75.116,55.67524509803923,120.96224506097238
92.00299999999999,163.9,75.341,56.133618059792546,122.11544842781485
92.71700000000001,164.7,75.527,56.29447480267154,122.76007255683399
94.439,165.9,75.906,56.925256178420724,124.41572471214396
97.196,166.7,76.181,58.30593881223756,127.58561846129612
98.837,168.1,76.723,58.7965496728138,128.82316906273218
100.0,169.3,77.18,59.06674542232723,129.56724540036276
102.54,170.9,77.69,60.0,131.98609859698806
105.721,172.7,78.214,61.21656050955414,135.16889559413917
107.727,173.9,78.652,61.947671075330646,136.96663784773432
109.212,175.6,79.265,62.193621867881554,137.78086166656155
111.24600000000001,176.4,79.534,63.064625850340136,139.87225589056254
114.226,177.4,79.858,64.38895152198421,143.03638959152494
115.679,177.6,79.857,65.13457207207207,144.85768310855656
116.436,177.7,79.793,65.52391671356219,145.92257466193777
119.209,179.3,80.479,66.48577802565534,148.1243554219113
123.685,180.0,80.81,68.71388888888889,153.05655240688034
126.135,181.2,81.262,69.61092715231788,155.22015210061284
127.65100000000001,182.6,81.664,69.90744797371305,156.3124510188088
130.489,183.2,82.08,71.22762008733625,158.97782651072126
134.64600000000002,183.7,82.315,73.29667936853566,163.57407519893096
137.975,184.9,82.862,74.62141698215251,166.5117906881321
140.70600000000002,186.3,83.471,75.52657004830918,168.56872446718023
146.179,187.4,83.934,78.00373532550694,174.1594586222508
152.336,189.1,84.525,80.55843469063988,180.2259686483289
156.299,190.8,85.099,81.91771488469601,183.66725813464316
160.131,191.6,85.585,83.57567849686848,187.10171174855407
167.0,193.7,86.321,86.2157976251936,193.46393114074212
174.097,194.9,86.79,89.32632119035404,200.595690747782
178.752,199.1,88.121,89.78001004520341,202.84835623744627
180.829,199.3,88.364,90.73206221776216,204.641030283826
183.649,200.7,88.999,91.50423517688093,206.34950954505106
184.608,202.9,89.765,90.98472153770331,205.65699326017938
184.05599999999998,201.9,89.599,91.16196136701336,205.4219355126731
182.72,203.437,90.249,89.81650338925563,202.462077142129
182.132,205.904,91.074,88.45481389385344,199.9824318685904
180.995,207.603,91.672,87.18322952943839,197.43760363033425
177.53099999999998,209.19,92.367,84.86591137243653,192.2017603689629
171.08,212.174,93.307,80.63193416724009,183.35173138135403
167.325,213.942,93.934,78.21044956109598,178.13038942236037
165.717,219.016,95.463,75.66433502575156,173.59291034222684
159.166,216.995,94.835,73.35007719071868,167.83466019929352
149.362,211.933,93.203,70.47604667512846,160.2544982457646
146.94299999999998,212.709,93.401,69.08170317193913,157.32486804209805
150.748,214.726,94.063,70.2048191648892,160.26280258975368
