date,1-year inflation forecast,1-year actual inflation,1-year nominal interest rate
1971-01-01,3.4059999999999997,4.324727783631888,4.88
1972-01-01,3.4893,5.479567358276172,4.959999999999998
1973-01-01,3.83325,8.997326736623723,7.3116666666666665
1974-01-01,5.819224999999999,9.26495351050589,8.181666666666667
1975-01-01,6.6149249999999995,5.5010218097758745,6.758333333333333
1976-01-01,6.086774999999999,6.214473976691748,5.874166666666667
1977-01-01,5.884925000000001,7.034800287012688,6.088333333333332
1978-01-01,6.324575,8.29585765760732,8.340000000000002
1979-01-01,7.59295,9.032524309406531,10.665000000000001
1980-01-01,8.6646,9.462304544271749,12.048333333333332
1981-01-01,8.729,6.178549045879866,14.77833333333333
1982-01-01,6.6625499999999995,3.915981437759508,12.274999999999999
1983-01-01,5.091025,3.6078031964901447,9.5725
1984-01-01,5.159325000000001,3.1626904608869744,10.887500000000003
1985-01-01,4.237075,2.0138901614410676,8.425833333333335
1986-01-01,3.2689000000000004,2.471708280941254,6.4624999999999995
1987-01-01,3.7188499999999998,3.5287311993829507,6.764166666666667
1988-01-01,3.87695,3.919809004554775,7.6525
1989-01-01,4.455875,3.7426271711147985,8.534999999999998
1990-01-01,4.051725,3.3830158156774814,7.8825
1991-01-01,3.623625,2.278769464489172,5.858333333333333
1992-01-01,3.085275,2.369105087263268,3.8891666666666667
1993-01-01,2.8236999999999997,2.135809634358665,3.434166666666666
1994-01-01,2.8851,2.0968291851346743,5.31
1995-01-01,2.874925,1.8297434184894712,5.948333333333333
1996-01-01,2.4300249999999997,1.7244442015222017,5.5125
1997-01-01,2.5053,1.125663241319108,5.63
1998-01-01,2.1533499999999997,1.4438850736554043,5.051666666666667
1999-01-01,1.751275,2.2364802933088956,5.077500000000001
2000-01-01,2.0976,2.1926791157560466,6.108333333333333
2001-01-01,2.135,1.5816518360696863,3.4808333333333334
2002-01-01,1.83565,1.8568326506440247,2.0016666666666665
2003-01-01,1.8159,2.692685053962718,1.2441666666666669
2004-01-01,1.8274000000000001,3.1151214909176828,1.8866666666666667
2005-01-01,2.1133,3.0255888173322143,3.6183333333333336
2006-01-01,2.2578,2.6869184820020875,4.932499999999999
2007-01-01,2.240125,1.945159267348573,4.5216666666666665
2008-01-01,2.2766,0.7625815347086062,1.8225
2009-01-01,1.530275,1.165214096248568,0.4708333333333334
2010-01-01,1.542925,2.0882105066017287,0.3183333333333333
2011-01-01,1.6713999999999998,1.918098615952224,0.18166666666666667
2012-01-01,1.868725,1.7549999999999955,0.17499999999999996
2013-01-01,1.9002500000000002,1.850523315807595,0.13166666666666668
2014-01-01,1.87175,0.9513884868484368,0.12083333333333335
2015-01-01,1.804025,1.0494723963908825,0.3216666666666667
2016-01-01,1.854725,1.8804033219197436,0.6141666666666666
2017-01-01,1.999025,2.400891282146511,1.2008333333333334
2018-01-01,2.090125,1.7851961993181842,2.3316666666666666
2019-01-01,2.077675,1.2114194094330344,2.0533333333333332
