,interest 3mo,interest 6mo,interest 1yr,interest 10yr,deflator inflation - 3mo actual,deflator inflation - 6mo actual,deflator inflation - 1yr actual,cpi inflation - 3mo actual,cpi inflation - 6mo actual,cpi inflation - 1yr actual,cpi inflation - 10yr actual,cpi inflation - 1yr forecast,cpi inflation - 3mo forecast,cpi inflation - 6mo forecast,deflator inflation - 1yr forecast,cpi inflation - 10yr forecast,deflator inflation - 3mo forecast,deflator inflation - 6mo forecast
1985-10-01,7.166666666666667,7.256666666666667,7.853333333333334,9.76,1.9488972363756674,1.7804565450829646,1.8618587412102983,2.0741239091681587,0.061162079510745926,1.3455657492354778,3.4513523752808695,3.849650937709437,3.5,3.599951737440499,3.9743589743589824,,3.9316239316239177,3.589743589743577
1986-01-01,6.896666666666666,6.946666666666666,7.456666666666667,8.556666666666667,1.5962591708304017,1.609789727680111,2.1027231988969275,-1.9518184503341836,0.24338302403403844,2.0383328262853606,3.4883422049853507,3.5870996111421416,3.2,3.3498911465319248,3.3333333333333215,,2.456140350877245,3.157894736842115
1986-04-01,6.140000000000001,6.18,6.6066666666666665,7.603333333333333,1.6104322800951734,1.9261141248369196,2.3776007690722967,2.4382885619823638,2.629165392846211,3.6991745643534024,3.6239496017808293,3.4112499129253626,2.6,2.9992232980424083,3.1523642732048884,,2.8021015761821033,2.9772329246935403
1986-07-01,5.523333333333333,5.586666666666666,5.989999999999999,7.306666666666666,2.2233646331747443,2.5749311812881537,2.706584369176057,2.785779617267363,3.828623518687335,4.162868429048916,3.6203398126599673,3.499903381507208,3.3,3.3999516440892608,2.615518744550993,,1.7436791630339954,2.4411508282475847
1986-10-01,5.353333333333333,5.406666666666666,5.796666666666667,7.263333333333333,2.893628198435649,2.8021015761821477,2.9823338377569453,4.7990977586582675,4.707302353651155,4.405552202776075,3.637355860954905,3.624779854811244,3.35,3.4249728063778573,3.111495246326701,,2.938634399308526,2.8522039757994833
1987-01-01,5.536666666666666,5.543333333333334,5.923333333333333,7.1933333333333325,2.6716789683583664,2.802160702228207,3.043551654287646,4.5064218114558265,4.412641621943969,3.9654144305307115,3.5775837008183764,3.8997349043809804,3.5,3.7496987947434945,3.70370370370372,,3.273040482342804,3.4453057708871526
1987-04-01,5.656666666666666,5.9799999999999995,6.766666666666667,8.343333333333334,2.8937448166304596,3.118869158408355,3.34691550547479,4.222913122350713,4.009433962264142,3.979952830188682,3.487073841474597,4.362473793868782,4.35,4.3749970059879795,3.918228279386704,,3.7478705281089653,3.9182282793867262
1987-07-01,6.043333333333334,6.183333333333334,7.126666666666668,8.876666666666667,3.29585657365057,3.239553853837185,3.810554353254547,3.7166353336397666,3.4422403733955775,4.142357059509916,3.4308947874226448,4.499928183804536,4.3,4.449892292907598,4.142011834319526,,4.057480980557937,4.142011834319526
1987-10-01,5.863333333333333,6.413333333333334,7.239999999999999,9.123333333333333,3.131337428753421,3.520068684266997,3.7842389419981304,3.109271449552502,3.8728323699421807,4.306358381502884,3.391397378922356,4.374919147285206,4.5,4.349892189690352,3.6195286195286114,,3.367003367003374,3.367003367003374
1988-01-01,5.723333333333333,6.03,6.78,8.416666666666666,3.8475630053752217,4.311714692921376,4.1069410087970715,4.562353424160338,4.76053914539718,4.674505305420129,3.3337826230303236,4.199706438188255,3.95,3.999987980768549,3.760969494358535,,3.343083994985374,3.6773923944839026
1988-04-01,6.21,6.493333333333333,7.3,8.910000000000002,4.684226703607673,3.9783882011260374,4.17633410672853,4.847177815053108,4.649844060107755,5.160192798412244,3.2519231489157363,4.574913271007652,4.35,4.474925221318071,3.9435450394354588,,3.6529680365296358,4.068078040680767
1988-07-01,7.010000000000001,7.27,8.003333333333332,9.1,3.1944458938173854,3.8198175082987174,3.7091678827434693,4.346051947641508,4.481792717086863,4.705882352941182,3.1813210251034896,4.974967262604069,4.9,4.949988089565793,4.1837571780147575,,3.9376538146020934,4.019688269072974
1988-10-01,7.726666666666667,7.859999999999999,8.526666666666666,8.956666666666667,4.373149904152966,4.2889641896943775,3.600120905518689,4.518576773499465,5.541701302299806,4.627320587420347,3.119002199488996,4.899982131509306,4.85,4.849999999999999,4.3689320388349495,,4.5307443365696365,4.530744336569592
1989-01-01,8.54,8.586666666666666,9.290000000000001,9.206666666666665,4.114096553824555,3.5310778914240615,3.605035405192747,6.414052365221363,4.821917808219167,5.232876712328771,3.0419378221805182,4.849946351890155,5.0,4.924973195135962,4.556354916067162,,3.8369304556354678,4.476418864908105
1989-04-01,8.409999999999998,8.33,8.926666666666668,8.773333333333333,2.886440880474394,2.850156524989522,3.6024109520768732,3.11536421036695,3.612833647883562,4.583445672688047,2.9555331726205836,4.9123426733616915,5.05,5.02499702451793,4.577742699289655,,4.41988950276242,4.262036306235206
1989-07-01,7.843333333333334,7.696666666666668,8.096666666666666,8.106666666666667,2.7736370128667134,3.615165759524963,3.775977238990613,4.04581569995325,5.510968432316732,5.5644729802033055,2.951658019718195,4.649994027710913,4.6,4.649988055422161,4.320502749410848,,4.39905734485464,4.241948153967012
1989-10-01,7.653333333333333,7.510000000000001,7.826666666666667,7.906666666666666,4.392124334181551,4.293479929977551,3.8389484352446157,6.827000432205341,5.455508474576254,6.27648305084747,2.9238027705248193,4.2249910079125375,4.2,4.200000000000004,3.9843749999999956,,4.0625000000000355,3.90625
1990-01-01,7.760000000000001,7.7,8.126666666666667,8.423333333333334,4.103963894358317,3.866891450615917,3.7286796980604997,3.9378556376249416,5.467326217130974,5.259047123145022,2.851071261243643,4.349940105375283,4.3,4.249988009591643,4.021655065738594,,3.712296983758634,3.866976024748636
1990-04-01,7.746666666666667,7.743333333333333,8.273333333333333,8.676666666666666,3.5560046820066895,3.313289236319905,3.3734215273601986,6.850007657037456,6.908997164217645,4.84660995101831,2.8305598720095304,4.199784160793474,4.0,4.0000000000000036,3.8167938931297662,,3.6641221374045685,3.8167938931297662
1990-07-01,7.476666666666667,7.406666666666666,7.826666666666667,8.703333333333333,3.0162831443258304,3.5223649313109284,3.2109544953363045,6.7346734737424585,4.916371008616327,3.8520020273694833,2.7497210112780834,4.449414415571162,5.0,4.749701670219575,4.383975812547236,,4.535147392290284,4.53514739229024
1990-10-01,6.989999999999999,6.963333333333334,7.303333333333334,8.396666666666667,3.967130326978813,3.3775990062405725,2.988672325574515,2.9791597495416813,2.691253426364293,2.9653625716421494,2.6517350538250994,4.5113593801826335,5.35,4.773422202388722,4.264870931537579,,4.638982416760129,4.489337822671136
1991-01-01,6.023333333333333,6.043333333333334,6.436666666666667,8.016666666666666,2.7316609884966385,2.849361602436451,2.410097223849106,2.367454506581394,2.7207519168933825,2.893890675241151,2.6725965308453503,3.662371154027677,3.45,3.5249728326455454,3.4944237918215437,,3.866171003717511,3.866171003717467
1991-04-01,5.56,5.69,6.243333333333333,8.13,2.9268493948671455,2.5565702984119643,2.3617008900006065,3.0373691566482104,3.1964593066141855,3.0735185640521356,2.683352629814628,3.8374556368653057,3.75,3.7749969886773815,3.3823529411764586,,3.52941176470587,3.382352941176503
1991-07-01,5.376666666666666,5.446666666666666,5.886666666666667,7.94,2.153886798448423,1.9431491720682814,2.0990630729474935,3.305000576273629,3.025866276232314,3.0746705710102518,2.6352885264762094,3.772443271901582,3.6,3.7498915662083965,3.352769679300316,,3.206997084548213,3.2069970845481244
1991-10-01,4.54,4.583333333333333,4.866666666666666,7.346666666666667,1.7136538012857263,2.139482790804559,2.2371236161566666,2.7014092063119697,2.9041626331074877,3.1219748305905126,2.5445709938821004,3.549939642644584,3.4,3.4499879168673475,3.1930333817126177,4.0,3.1930333817125955,3.0478955007256836
1992-01-01,3.893333333333333,3.9933333333333336,4.3566666666666665,7.303333333333334,2.5425867695060025,2.2332790026021954,2.379114123130588,3.065149098227727,3.076923076923066,3.173076923076934,2.5086845382304546,3.3999274193085904,3.2,3.299951597278117,3.249793677260726,3.7,2.9643103767706513,2.9542047732134424
1992-04-01,3.6799999999999997,3.796666666666667,4.22,7.376666666666668,1.8992176618460421,2.3100528499175876,2.3484116610785755,3.0418397540875968,3.2919847328244156,3.124999999999978,2.5103811653102603,3.524924535058238,3.35,3.4249728063778573,3.1074272440905437,3.9,2.7372765936113375,2.872636425163577
1992-07-01,3.0833333333333335,3.15,3.4166666666666665,6.616666666666667,2.6944100075962143,2.4970660181270254,2.477270477779503,3.4885312455258637,3.2196969696969724,2.817234848484862,2.4879144285118393,3.3249667223945734,3.3,3.2499878934617588,2.790862667777616,3.75,2.7256902909658542,2.879134114851878
1992-10-01,3.0700000000000003,3.2466666666666666,3.563333333333334,6.743333333333333,2.2688024300920837,2.3595174225081283,2.32019213213297,2.899580100270808,2.9101149964796846,2.7693029805210045,2.4594692024718867,3.2499394672719006,3.1,3.149987881724936,2.70655737704919,3.6,2.6229508196720985,2.622950819672143
1993-01-01,2.9599999999999995,3.0866666666666664,3.4066666666666667,6.28,2.4226128200740806,2.42717090746587,2.2344496271262226,2.8787123668170844,2.3765144454799714,2.5396085740913454,2.489485620772225,3.2124735018176587,3.1,3.1749727404858596,2.78024856580954,3.5,2.4774976946867255,2.681507715659004
1993-04-01,2.966666666666667,3.08,3.3800000000000003,5.989999999999999,2.402509367673082,2.254271872961233,2.1237906192307143,1.8462991468761267,2.590793430488114,2.38260467268101,2.40060375254334,3.3749183650139125,3.2,3.2499878934617588,2.755797318159403,3.7,2.5185700083251383,2.71417140178305
1993-07-01,3.003333333333334,3.1200000000000006,3.4233333333333333,5.616666666666666,2.0808149973974754,2.017247326664373,2.0614004829251575,3.3020137066305972,2.6709647708957007,2.855169237854005,2.4289933936635144,3.299999999999992,3.3,3.299999999999992,3.0522088353413857,3.45,2.8915662650602414,3.0522088353413857
1993-10-01,3.06,3.203333333333333,3.526666666666667,5.6066666666666665,1.9334690080157306,1.9710924738857827,2.0905110290585283,2.0045600038772218,2.14660881479789,2.6033340945421424,2.384056563527004,3.0299978160758023,3.0,3.0099995146102287,2.8332003192338417,3.45,2.553870710295314,2.713487629688771
1994-01-01,3.2433333333333336,3.453333333333333,3.91,6.066666666666666,1.9894166109941775,2.084528590552681,2.181515176351656,2.265781519961375,2.999318336741652,2.8402635764598783,2.4184152342262344,3.1999697189845966,3.1,3.124996969696925,2.763089889873971,3.45,2.6557468294040376,2.568282113465603
1994-04-01,3.986666666666667,4.413333333333333,5.133333333333333,7.083333333333333,2.1580640661877863,2.188362262304455,2.1217599325821457,3.6883202964495077,3.0275643922277773,3.0953456845910443,2.440152357152936,3.2749909193634297,3.2,3.2499878934617588,2.892366050260775,3.5,2.718507981665841,2.7817290975185927
1994-07-01,4.476666666666667,4.89,5.599999999999999,7.333333333333333,2.1948890557399596,2.2549987156781803,2.0549148967810904,2.3214350872165666,2.641593910902129,2.6639802999776085,2.4113414427007207,3.324990929613292,3.3,3.299999999999992,3.0516561514195573,3.5,3.075709779179814,2.9968454258674893
1994-10-01,5.28,5.773333333333333,6.596666666666667,7.836666666666666,2.2898727897936464,2.0329138431752103,1.996611810261384,2.9271668493290366,3.115958157133303,2.6263075895837984,2.460405623552475,3.424984892431615,3.5,3.4249728063778573,3.102906520031423,3.5,3.1421838177533523,3.063629222309494
1995-01-01,5.736666666666667,6.043333333333333,6.726666666666667,7.483333333333333,1.7554301692531447,1.8341510367231528,1.9638249802815588,3.2567018935680285,2.6513477684490194,2.7839151568714193,2.437464795781885,3.412455434943662,3.3,3.3249969755624997,2.8928850664581507,3.3,2.5019546520718805,2.6583268178264063
1995-04-01,5.596666666666667,5.62,5.97,6.62,1.896153489986514,1.9405845711547798,1.903316829047541,2.011152996178872,2.1038790269559904,2.827087442472065,2.423313737610222,3.524990947130724,3.5,3.499999999999992,2.9361867704280176,3.35,2.801556420233453,2.8015564202334975
1995-07-01,5.366666666666667,5.36,5.653333333333333,6.323333333333333,1.9663072301697664,2.0744744267376714,1.707533547934137,2.1746275155423445,2.8783253379851548,2.900130832969894,2.523981019683319,3.2749909193634297,3.2,3.2499878934617588,2.5676861320102606,3.2,2.4752898061230155,2.4954772386697854
1995-10-01,5.260000000000001,5.239999999999999,5.4433333333333325,5.8933333333333335,2.1612720443621107,1.848116950738854,1.72288791342059,3.5409925727397713,3.5133376707872532,3.23140316634134,2.5626796735625845,2.9499878581828565,2.9,2.8999999999999915,2.3504778891452416,3.0,2.3186832360752696,2.3117039219868296
1996-01-01,4.93,4.883333333333333,5.123333333333334,5.91,1.517988657202712,1.3268302915879993,1.802758548353256,3.4246784539244803,2.880481513327604,2.9449699054170386,2.5258616167032955,2.77496656201337,2.7,2.6999999999999913,2.3623381560205825,3.0,2.242343468762442,2.24417544872062
1996-04-01,5.02,5.1433333333333335,5.663333333333333,6.72,1.1269082711164455,1.583030746323244,1.6914396175648605,2.295192781208558,2.8985507246376496,2.3017902813299296,2.530107225046496,2.874917968174162,2.8,2.7499878345491613,2.502274795268433,3.0,2.3657870791628177,2.3785259326660313
1996-07-01,5.096666666666667,5.223333333333334,5.783333333333334,6.78,2.026689017339377,2.2636692802625813,1.7674333793534558,3.4603021996313004,2.966730239457549,2.2250476795931506,2.5669197803313004,3.002475636543389,2.9,2.9999514562992324,2.5049864007252953,3.0,2.1758839528558838,2.538531278331835
1996-10-01,4.976666666666667,5.073333333333333,5.4799999999999995,6.343333333333334,2.4752202486159023,1.7857142857142794,1.5900373211693797,2.4295812468575497,1.680672268907557,1.8907563025210017,2.438512224259437,3.0249909032096456,3.1,3.0499878699653316,2.5650406504065026,3.0,2.529358626919631,2.5293586269195867
1997-01-01,5.06,5.14,5.646666666666667,6.5633333333333335,1.0803587182824608,1.2569706492201682,1.1281826728656519,0.9177186213491466,1.46168302359575,1.482564209647097,2.4755609482167706,3.0624795348859424,3.0,3.0000000000000027,2.578167115902974,3.0,2.515723270440251,2.515723270440251
1997-04-01,5.046666666666667,5.266666666666667,5.8500000000000005,6.696666666666666,1.4257156485610534,1.3820208844419923,1.0660570019394466,1.9950166044156754,2.0833333333333037,1.5833333333333366,2.565801938179746,2.9999271372588954,2.8,2.8999514091236023,2.4230254350736224,2.85,2.338241856314127,2.4560464078536626
1997-07-01,5.046666666666667,5.133333333333334,5.539999999999999,6.243333333333333,1.3288199788595971,0.9931528764318021,1.0827414090996301,2.1500982098029833,1.492537313432818,1.596185737976774,2.5791133197111016,2.8499392318501737,2.8,2.7499878345491613,2.4550462622086933,3.0,2.3880702937185028,2.3827477001960418
1997-10-01,5.09,5.166666666666667,5.483333333333333,5.906666666666666,0.6525702769082697,0.7449454684610224,1.062567765801381,0.8238931852042249,1.0721649484536133,1.525773195876301,2.647724176646893,2.599975633519591,2.5,2.549987810823273,2.29681978798586,2.65,2.2508833922261218,2.2597173144876415
1998-01-01,5.053333333333334,5.046666666666667,5.3133333333333335,5.586666666666666,0.8345528121155528,1.1665371929243662,1.4021369535040629,1.314709482649089,1.6872427983539051,1.6872427983539051,2.735449612681773,2.2623814674845644,2.0,2.14988986778204,2.2338357044192847,2.6,2.0341190030001677,2.0042054882501326
