Date,GDP [Bil. of 2017 Dollars],Consumption [Bil. of 2017 Dollars],Investment [Bil. of 2017 Dollars],Government Purchases [Bil. of 2017 Dollars],Exports [Bil. of 2017 Dollars],Imports [Bil. of 2017 Dollars],Net Exports [Bil. of 2017 Dollars],Capital [Bil. of 2017 Dollars],Labor [Index: 2017=100]
2018-01-01,20044.1,13552.8,3594.6,3464.7,2482.0,3050.0,-568.0,20996.1,101.2
2018-04-01,20150.5,13600.8,3586.1,3496.0,2508.6,3041.0,-532.4,21154.7,101.8
2018-07-01,20276.2,13650.4,3693.5,3535.0,2471.8,3074.5,-602.7,21305.6,102.2
2018-10-01,20304.9,13686.0,3690.6,3543.9,2463.1,3078.7,-615.6,21478.0,102.5
2019-01-01,20415.1,13686.1,3724.5,3583.6,2461.0,3040.1,-579.0,21643.6,102.1
2019-04-01,20584.5,13800.2,3749.1,3627.1,2450.1,3042.1,-592.0,21811.9,102.4
2019-07-01,20817.7,13931.1,3780.2,3667.1,2430.1,2990.7,-560.6,21980.3,102.7
2019-10-01,20951.0,14030.8,3716.5,3697.4,2422.0,2915.7,-493.7,22150.6,102.5
2020-01-01,20665.6,13779.1,3625.2,3754.5,2300.2,2793.4,-493.2,22299.0,100.7
2020-04-01,19034.9,12588.1,3110.7,3843.7,1731.5,2239.2,-507.7,22419.3,86.3
2020-07-01,20511.7,13697.6,3687.0,3786.3,1996.0,2655.3,-659.2,22406.8,94.2
2020-10-01,20724.1,13857.1,3801.6,3781.1,2132.6,2848.3,-715.7,22538.8,96.4
2021-01-01,20990.6,14133.9,3744.0,3848.7,2213.1,2949.1,-736.0,22694.7,97.3
2021-04-01,21309.5,14593.0,3671.6,3806.0,2285.6,3046.7,-761.1,22830.8,99.1
2021-07-01,21483.0,14681.9,3810.5,3787.9,2313.4,3110.6,-797.2,22944.0,100.6
2021-10-01,21847.6,14814.8,4071.0,3780.9,2439.7,3258.7,-819.1,23087.9,102.1
2022-01-01,21738.9,14791.9,4140.1,3753.3,2464.6,3411.0,-946.4,23291.9,102.8
2022-04-01,21708.2,14799.8,4027.4,3752.6,2587.1,3458.7,-871.6,23505.9,103.6
2022-07-01,21851.2,14865.4,3971.5,3764.1,2592.8,3342.7,-749.8,23684.3,104.3
2022-10-01,21990.0,14919.3,3993.7,3807.4,2509.6,3240.0,-730.4,23842.3,104.5
2023-01-01,22112.3,15066.3,3897.2,3829.7,2527.4,3208.4,-680.9,24000.4,105.1
2023-04-01,22225.4,15126.6,3925.8,3835.1,2432.3,3094.3,-662.0,24128.7,104.8
2023-07-01,22490.8,15216.0,4003.7,3905.8,2468.8,3103.6,-634.7,24259.7,105.1
2023-10-01,22668.9,15333.0,4019.8,3947.7,2483.2,3114.9,-631.7,24405.6,105.2
