Date,GDP [Bil. of 2017 Dollars],Consumption [Bil. of 2017 Dollars],Investment [Bil. of 2017 Dollars],Government Purchases [Bil. of 2017 Dollars],Exports [Bil. of 2017 Dollars],Imports [Bil. of 2017 Dollars],Net Exports [Bil. of 2017 Dollars],Capital [Bil. of 2017 Dollars],Labor [Index: 2017=100]
1971-01-01,5443.6,3257.0,908.7,1256.0,303.2,281.3,21.9,5089.0,55.4
1971-04-01,5473.0,3281.2,934.0,1259.6,297.7,299.6,-1.9,5136.8,55.6
1971-07-01,5518.1,3306.2,946.8,1264.1,307.9,306.8,1.1,5189.2,55.6
1971-10-01,5531.1,3353.8,922.0,1264.3,278.9,287.8,-8.9,5243.0,56.2
1972-01-01,5632.6,3382.2,974.8,1291.8,314.2,330.3,-16.2,5288.7,56.8
1972-04-01,5760.4,3445.1,1031.7,1303.1,305.5,324.8,-19.4,5346.0,57.2
1972-07-01,5814.9,3495.5,1050.2,1281.0,321.9,333.8,-11.9,5415.5,57.6
1972-10-01,5912.3,3561.4,1066.5,1298.0,338.7,352.3,-13.6,5487.2,58.2
1973-01-01,6058.6,3628.6,1118.5,1317.6,369.3,375.4,-6.2,5560.4,59.0
1973-04-01,6124.4,3640.9,1161.7,1311.2,398.2,387.5,10.6,5644.0,59.7
1973-07-01,6092.4,3649.4,1123.2,1292.5,414.6,387.2,27.4,5735.5,60.1
1973-10-01,6150.2,3640.6,1170.0,1302.3,448.3,411.1,37.3,5814.2,60.4
1974-01-01,6097.3,3646.7,1097.3,1327.2,477.2,451.1,26.1,5901.7,60.1
1974-04-01,6111.7,3676.5,1108.0,1338.0,506.0,516.8,-10.8,5968.0,60.3
1974-07-01,6053.9,3683.8,1051.7,1345.5,491.4,518.5,-27.1,6034.7,60.1
1974-10-01,6030.4,3615.5,1060.6,1354.2,514.9,514.8,0.1,6084.9,59.1
1975-01-01,5956.9,3631.4,900.5,1364.3,521.1,460.3,60.7,6135.6,57.3
1975-04-01,5999.5,3681.3,883.6,1356.2,497.0,418.6,78.4,6144.4,56.7
1975-07-01,6102.4,3737.4,946.5,1375.5,478.6,435.6,43.0,6148.8,57.3
1975-10-01,6184.5,3777.8,969.7,1388.6,500.3,451.9,48.4,6168.6,58.2
1976-01-01,6323.6,3855.3,1058.2,1393.9,498.8,482.6,16.2,6193.6,59.2
1976-04-01,6370.0,3884.4,1108.4,1379.0,504.2,505.9,-1.7,6239.9,59.2
1976-07-01,6404.9,3934.2,1114.6,1369.9,515.3,529.1,-13.8,6297.0,59.5
1976-10-01,6451.2,3976.9,1126.1,1370.2,520.5,542.6,-22.0,6353.7,59.8
1977-01-01,6527.6,4031.6,1182.7,1382.6,509.9,579.1,-69.2,6411.3,60.4
1977-04-01,6654.5,4065.3,1261.4,1396.2,524.1,592.5,-68.4,6481.0,61.6
1977-07-01,6774.6,4115.3,1324.3,1400.7,519.1,584.9,-65.8,6567.9,62.2
1977-10-01,6774.6,4146.9,1321.9,1398.4,494.0,586.6,-92.6,6667.5,62.8
1978-01-01,6796.3,4177.8,1341.5,1396.4,507.9,627.2,-119.3,6763.0,63.1
1978-04-01,7058.9,4272.9,1424.7,1429.8,563.8,632.3,-68.5,6860.0,65.0
1978-07-01,7129.8,4293.3,1465.7,1441.5,569.5,640.2,-70.7,6974.3,65.5
1978-10-01,7225.8,4321.5,1504.6,1447.7,599.2,647.1,-47.8,7094.9,66.3
1979-01-01,7238.7,4346.6,1506.4,1437.7,606.4,658.5,-52.0,7221.0,66.8
1979-04-01,7246.4,4355.9,1508.1,1444.4,617.8,679.8,-62.1,7343.1,67.0
1979-07-01,7300.2,4411.1,1493.2,1458.9,641.1,704.2,-63.0,7461.3,67.6
1979-10-01,7318.5,4446.7,1472.0,1471.8,681.5,753.6,-72.0,7571.6,67.8
1980-01-01,7341.5,4479.6,1459.3,1496.8,706.6,800.8,-94.2,7672.7,67.6
1980-04-01,7190.2,4381.8,1334.8,1512.8,713.0,752.1,-39.1,7767.1,66.4
1980-07-01,7181.8,4434.5,1244.7,1488.8,715.7,702.0,13.8,7827.1,66.1
1980-10-01,7315.7,4488.8,1351.3,1492.0,716.8,733.2,-16.4,7862.3,67.0
1981-01-01,7459.0,4502.2,1478.8,1512.1,729.3,763.3,-34.0,7923.0,67.3
1981-04-01,7403.8,4489.1,1427.7,1518.6,722.1,753.7,-31.6,8013.5,67.4
1981-07-01,7492.4,4499.4,1498.9,1511.5,694.7,712.1,-17.4,8087.9,67.4
1981-10-01,7410.8,4459.9,1453.3,1530.9,688.2,721.6,-33.3,8177.6,67.1
1982-01-01,7295.7,4487.9,1310.9,1533.2,653.3,689.6,-36.3,8252.7,65.9
1982-04-01,7329.0,4486.4,1305.7,1546.5,648.3,657.9,-9.6,8289.5,66.2
1982-07-01,7300.9,4523.4,1286.0,1555.8,606.5,670.8,-64.3,8323.8,65.8
