date,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,capital,capital_trend,capital_cycle,tfp,tfp_trend,tfp_cycle,real_m2,real_m2_trend,real_m2_cycle,t_bill_3mo,t_bill_3mo_trend,t_bill_3mo_cycle,pce_inflation,pce_inflation_trend,pce_inflation_cycle,unemployment,unemployment_trend,unemployment_cycle
1976-07-01,38.13520015755731,38.61099144032089,-0.012399244016430888,23.424299042901605,23.481231043105,-0.00242751880456904,6.6364528194347425,6.959902556508245,-0.047587866941946055,101.77633204647654,104.23201423317278,-0.023841737999939383,40.3560441974137,41.01749969885112,-0.016257619831238745,18.384502514951098,18.223646581369334,0.008788041613075226,22.207284850554537,22.12715734120197,0.003614688383866138,0.0515,0.06438908741737065,-0.012889087417370652,0.05233390357155332,0.07500583163057901,-0.022671928059025695,0.07733333333333334,0.06952675739363716,0.007806575939696178
1976-10-01,38.240749271314456,38.75042212566478,-0.013239967399194974,23.57401222945754,23.57129309371421,0.00011535128376882753,6.675370535317056,7.039648429382087,-0.053133516260168934,101.87242189915402,104.32597382820053,-0.023799096266800213,40.53999214050935,41.253662707582336,-0.01745095459610546,18.394779103317152,18.24205439857061,0.008337270162632304,22.506269265230078,22.15882502950376,0.015558066070300303,0.04673333333333333,0.06588895702213565,-0.019155623688802324,0.051297898640296546,0.07547276933292868,-0.024174870692632133,0.07766666666666666,0.06961064407133781,0.008056022595328852
1977-01-01,38.52401383429824,38.89491441183701,-0.009581724356515942,23.79287640620719,23.66188308485047,0.005520780443257323,6.979969806963073,7.122993190007801,-0.020283437824078154,102.50197026961223,104.45437083849286,-0.01886831281855983,40.72945199851841,41.50314738178077,-0.01881779780848536,18.42688257002908,18.25687473339548,0.009268900804016322,22.802736675546633,22.185700694293054,0.027432589907916416,0.0463,0.06767959505093721,-0.021379595050937207,0.05861975275098508,0.07602477922318783,-0.017405026472202753,0.075,0.06961035869885047,0.0053896413011495226
1977-04-01,39.08956077318067,39.04223801502646,0.0012113573391347998,23.880291656828906,23.751933620317487,0.00538955912596828,7.409529848836123,7.207943847171055,0.027583259167206053,103.97080441580684,104.61022632404814,-0.006131179897173489,40.97493659178065,41.766346614754696,-0.019130333206346162,18.486353415360337,18.26781140781564,0.01189223502714798,22.983245397836576,22.20623101389584,0.03439256371128652,0.0484,0.06976393514825792,-0.02136393514825792,0.06779832272405795,0.07666596598793082,-0.008867643263872876,0.07133333333333333,0.06955410296802092,0.001779230365312412
1977-07-01,39.601304756863186,39.18989456337655,0.010443144311470753,24.056533691074193,23.840443353144284,0.009023191750291648,7.741541546282998,7.292318361257614,0.05977931911709278,104.5731151027227,104.78530914348916,-0.002027089324834641,41.30997978468719,42.04317642638123,-0.017592988342567395,18.605078074560804,18.274675782405115,0.01791829378513654,23.116789076768463,22.219242616300257,0.03960045544124258,0.05496666666666667,0.07213154871167349,-0.017164882045006817,0.06764647335943197,0.07738955617218693,-0.00974308281275496,0.06899999999999999,0.06947344709650817,-0.0004734470965081783
1977-10-01,39.42598636035096,39.33537758929723,0.0023008441317582395,24.1336360223717,23.92647699742186,0.008620883095358245,7.692919374195387,7.3739594826416175,0.04234553883779424,105.1300468377701,104.97094439615597,0.0015145332831822955,41.73364635357404,42.333051522376294,-0.014260470361822097,18.39306767527778,18.277417438080032,0.006307558804939717,22.993801227933822,22.224044046955495,0.03404989981088091,0.061099999999999995,0.07475865467929202,-0.013658654679292025,0.0659742635051277,0.07818323404394552,-0.012208970538817823,0.06666666666666667,0.06940107332094958,-0.0027344066542829143
1978-01-01,39.382122331538056,39.47640144420481,-0.0023910961826696386,24.208484305773716,24.009222109455497,0.008265151765884937,7.773569252951033,7.450896677140812,0.042395037722066764,105.16880721346502,105.1582675865258,0.00010022130491815773,42.13647568049803,42.63490746503662,-0.011759570504510819,18.306549858273403,18.2761933704636,0.0016596073502501696,22.988220638604133,22.220501842362673,0.033966569468590446,0.06393333333333334,0.07761074393794348,-0.01367741060461014,0.06429258902791135,0.07902859444443795,-0.014736005416526601,0.06333333333333332,0.06936936797354719,-0.006036034640213864
1978-04-01,40.727623815818305,39.61070631289158,0.02780713690111636,24.653261186168113,24.087986396323387,0.023195964949420667,8.219890577008922,7.521288770579268,0.08881939483565837,107.76847645478207,105.33845149792143,0.022806675593579406,42.54336948696722,42.947270711978376,-0.009449086572942633,18.571310683575778,18.27123521328543,0.016289976640238457,22.878832849749,22.208964549600644,0.029716137488704497,0.06476666666666667,0.08064477071528336,-0.015878104048616698,0.06784632853898542,0.07989960160830883,-0.012053273069323411,0.06,0.06940900838234407,-0.00940900838234407
1978-07-01,40.95031937515962,39.73594585216227,0.030103394303437003,24.65884753209411,24.162195576060963,0.02034651691117828,8.418447044849778,7.583447451365983,0.10445746961768787,108.17722031989672,105.5026160748905,0.025035061632272537,43.03599929081774,43.26830865085611,-0.005383506956889494,18.55205933794537,18.262795678814623,0.015714830979078,22.811986252637404,22.19025995684917,0.02763265873587839,0.07313333333333333,0.08380914085733919,-0.010675807524005862,0.07047636804325541,0.08076100976681738,-0.010284641723561971,0.06033333333333334,0.06954689935373312,-0.009213566020399779
1978-10-01,41.307620617707215,39.850442935803656,0.03591348128299776,24.704266834934046,24.231622501984752,0.019317479956893813,8.601150799505998,7.636083581021499,0.11901115674464036,108.97859053972516,105.6433374513986,0.03108276625368145,43.55579846853566,43.595876808715936,-0.0009197377532448314,18.54627053518695,18.251314926384577,0.016031591330485817,22.666015368993513,22.1656322685851,0.022323689044536188,0.0857,0.08704233639510822,-0.0013423363951082234,0.07543354372204192,0.08157003985555453,-0.006136496133512609,0.059,0.0698040650638683,-0.010804065063868301
