date,gdp,gdp_trend,gdp_cycle,consumption,consumption_trend,consumption_cycle,investment,investment_trend,investment_cycle,hours,hours_trend,hours_cycle,capital,capital_trend,capital_cycle,tfp,tfp_trend,tfp_cycle
1981-07-01,40.97483092339685,40.63714056932437,0.008275557497669617,24.606684044689946,24.89395907463818,-0.011607051426652415,8.197167856323466,7.711723321489413,0.06104703093466046,105.32050654794514,104.91298160382601,0.003876884297878469,47.06687758709084,46.62843198561775,0.009359034167473634,18.313983355178127,18.268622373425433,0.002479922033808535
1981-10-01,40.39145912766627,40.727130830172584,-0.008276120643654128,24.308204630748573,24.982944475870273,-0.027379438599697714,7.921092497494477,7.707539367430806,0.02733014947264012,104.50756865839728,104.85886598089198,-0.0033558163492433124,47.427449237189485,46.893581846543675,0.011320340453516486,18.095997645405035,18.27890654526918,-0.010056957981610992
1982-01-01,39.646310859951,40.83301915055278,-0.029493145886957173,24.38804216902553,25.08417068384445,-0.028144060015115713,7.123545205208516,7.707807110720221,-0.07882820210105668,102.44647910443877,104.82901737079503,-0.022990109741565234,47.72664646131922,47.151340764460116,0.012127423119422609,17.954066409439996,18.29468904760926,-0.018794171555286177
1982-04-01,39.7057949376321,40.95797417253264,-0.03104937558658616,24.305644259785684,25.198878754597853,-0.036090902222018606,7.073947109000947,7.714338631164159,-0.08666214314182796,102.60492043540327,104.83133569084082,-0.021466842830728083,47.81235486380981,47.40283188862819,0.008602104651759479,17.951674602912004,18.316276057512653,-0.02010666338946665
1982-07-01,39.439028407535936,41.104468135202204,-0.04136093461152468,24.43522569076098,25.327904775216453,-0.035880976415125776,6.946908124166988,7.728584128753515,-0.10662899370233836,101.57630235982948,104.87224000837186,-0.03193258402801202,47.88903058133667,47.64956908095418,0.005012884900581938,17.938163294627778,18.343765000345076,-0.02235926383017084
1982-10-01,39.33573611563333,41.27423680200729,-0.0481050774547489,24.803947957389024,25.471547288312454,-0.026559204257698976,6.3495814992362165,7.751605074071516,-0.1995110231528716,100.32444886774856,104.9567894978491,-0.045139314195330016,47.92546091461019,47.893359167010644,0.0006700510144721505,18.031178388117514,18.377028479849923,-0.018999040309600534
1983-01-01,39.74881770826249,41.468006654643055,-0.04234210846779973,24.999857468281327,25.629557144828414,-0.02487613786193066,6.471660983124265,7.783984021132431,-0.18463549580213234,100.66764248091586,105.08801271369725,-0.042973793192528476,47.83016525849571,48.13619915046076,-0.006377962346773458,18.192800812048226,18.415686184284116,-0.012176855399339104
1983-04-01,40.54698891947365,41.6853004803997,-0.027687038383454432,25.485278408315462,25.801269623984247,-0.012322732817128923,6.953928331116967,7.8253688108376025,-0.11806414029628387,101.57665266625109,105.26604276385851,-0.035677174111670595,47.77081125708274,48.38014792950437,-0.012674753013742102,18.458019512259344,18.45914015257798,-6.071108011296289e-05
1983-07-01,41.241014083892296,41.92455562123891,-0.016438459619416257,25.93390626156966,25.985614343779567,-0.0019918558069473846,7.291658934274087,7.874520972182727,-0.0769012707997696,103.31481036834538,105.48824175645322,-0.02081875591616722,47.82323354383015,48.62711264417543,-0.01666966987783214,18.560918767601063,18.506649723773968,0.002928116669662195
1983-10-01,41.98074238538579,42.18347228142772,-0.004817493727663269,26.24686692101002,26.181301257390295,0.002501163022792685,7.948704189713286,7.929608457890364,0.0024052607418560967,104.95176159147064,105.74964759480123,-0.007573654303683952,47.95591983835022,48.87865222581127,-0.019058489084123664,18.683638277074724,18.557468623993085,0.006775853152995559
1984-01-01,42.62400287951046,42.459279195139914,0.003872062434842949,26.374218965022337,26.386977419346024,-0.000483630222462228,8.625809777788177,7.988377160424802,0.07677121547422727,106.5174444304392,106.04391437895107,0.004455474292102579,48.18568316370051,49.13584606947735,-0.0195268838135636,18.756806004767505,18.610878208212025,0.007810413808563066
1984-04-01,43.25102969152762,42.74901818900909,0.01167481221100708,26.70694325658355,26.601294459622906,0.003963700163678752,8.833300048611775,8.04852314846838,0.09304006145321342,107.6310814975328,106.36415420703524,0.011840843921736344,48.65416093026809,49.399208213406226,-0.015197063164495983,18.840585253836448,18.666231645001393,0.009297236031001965
1984-07-01,43.551774997595565,43.049762566179176,0.01159374460753071,26.8025679493864,26.822854984696836,-0.000756620094285676,8.944969960282313,8.108062555563519,0.09823241483684875,107.81061317855023,106.7037131223307,0.010320148770783355,49.15184274960404,49.668658015473376,-0.010459772492278141,18.883669204171138,18.722966339364667,0.008546568480731764
