date,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend,real_m2,real_m2_trend,t_bill_3mo,t_bill_3mo_trend,pce_inflation,pce_inflation_trend,unemployment,unemployment_trend
1997-04-01,56.594425417268724,56.666658448179525,36.34811281713893,36.80009975481619,10.564540766854378,10.401954144087085,118.03467349019208,117.46876582104991,60.29967495133531,60.705728590850214,21.53806158946121,21.582268668843025,25.84790947716553,26.203652276039016,0.05046666666666667,0.048985180838278936,0.01812606100432612,0.01674080942249527,0.05,0.05017850949958769
1997-07-01,57.15271885320342,57.06409488568694,36.808468650311404,37.08153207926867,10.722545464554418,10.545709902346587,118.42575870095556,117.76475791154324,60.82394829835243,61.153135404020226,21.638154107296746,21.642421253976707,26.069684611795118,26.382704783806812,0.05046666666666667,0.04897990802665466,0.016467637275751068,0.016401309654486624,0.04866666666666667,0.04930577293706809
1997-10-01,57.4825921383089,57.460087887752955,37.13922400276979,37.367102938080286,10.784028368840898,10.68497928485683,118.65854972773415,118.01699956755361,61.35845893371226,61.615949241572324,21.66882473311924,21.704968361310314,26.317505206829114,26.577039421486088,0.0509,0.04887249949379543,0.01275454939341425,0.016123604465498848,0.04666666666666667,0.04849970762214208
1998-01-01,57.926133141164435,57.85240010928215,37.37844312941957,37.655741103244026,11.186886792144263,10.818405701576873,119.1339683333695,118.22081540209898,61.922989320024406,62.092362919813006,21.709642121399188,21.769897744209377,26.697540874198527,26.78530342113456,0.05053333333333334,0.048658147014171246,0.008384783370628979,0.01591883573448755,0.04633333333333333,0.04777081187546472
1998-04-01,58.317566849988694,58.238749896168066,37.92112283945884,37.946196227579726,11.025270222546585,10.94464802673034,119.4475581748624,118.37195701689998,62.553399793227186,62.58035038187325,21.741814508080125,21.83717481591792,27.065590388241336,27.005949920447836,0.04976666666666667,0.04833330955006852,0.007678033562822595,0.01579603968098828,0.044,0.0471284383670939
1998-07-01,58.881813994181485,58.616845954650735,38.261126237793384,38.2370020752773,11.243156556057714,11.06255959953932,119.27832922692212,118.46679230615194,63.101127913387195,63.07771349356975,21.90547242718182,21.906727132190685,27.328764142716036,27.237334432123298,0.04823333333333333,0.04789561805522316,0.008127246392360954,0.015759543741809188,0.04533333333333333,0.04658104134299869
1998-10-01,59.65510184100696,58.98439450910891,38.69329675613288,38.526631491135475,11.534126773376823,11.171025940022137,120.38643363939873,118.50242532037461,63.672870821212186,63.582165440492716,21.99062511319659,21.97842167723658,27.876944663027686,27.477799175826874,0.04253333333333333,0.04734359933156891,0.007633893954383852,0.01580860159993456,0.044333333333333336,0.04613511977516872
1999-01-01,59.99118538317828,59.33922155121623,38.895131906875854,38.81352731114716,11.811644928048832,11.26903764508558,119.76688000359505,118.476548364378,64.24673598188178,64.09135907420017,22.119236505555154,22.05212329855766,28.1736080111555,27.725687998889455,0.04406666666666667,0.04667599125308837,0.009531575851558616,0.015937696752505285,0.043,0.045796392818087596
1999-04-01,60.33021930185222,59.67953559189291,39.459127808552594,39.0961937865534,11.705685458813612,11.355815654687811,120.10255838724476,118.3881162908599,64.93955365732837,64.60292782769737,22.120611193689726,22.127703025749064,28.400049488435183,27.979537158615763,0.044533333333333334,0.04588852527751521,0.013450940097946562,0.01613620350438379,0.042666666666666665,0.04556945350971277
1999-07-01,60.94870286335267,60.00392974397027,39.8620661866399,39.37314721187947,11.915468999931573,11.430934581341111,120.51934554194031,118.23698559868964,65.56437806467284,65.11452717279309,22.222516146618567,22.205072544634856,28.636992007534623,28.238110995816708,0.04649999999999999,0.04497530203471661,0.015897299454569636,0.016389492334869426,0.042333333333333334,0.04545714714249039
1999-10-01,61.767023921939106,60.31139342531279,40.34777109533314,39.64309650863436,12.185346444173577,11.494218528407195,120.67155444193716,118.02417410033233,66.21852382465791,65.62395189756946,22.424362476098857,22.284138045881946,28.782525870000708,28.50039233833195,0.05043333333333334,0.04392957515959467,0.019358091523040022,0.01668125543363251,0.04066666666666666,0.04546050476708974
2000-01-01,61.13469718905743,60.6015067187393,40.45145485063525,39.90503051056808,11.922641763543213,11.545829414283803,119.54450258661562,117.7521984155787,66.18715999635839,66.12921451078805,22.334289920660492,22.364815523709787,28.63699589026063,28.765576895130042,0.055200000000000006,0.04274555122327974,0.02562336957241418,0.01699487736979318,0.04033333333333333,0.04557860505054932
2000-04-01,62.05506724879864,60.87476915991392,40.64397626720396,40.15836259319635,12.569921877658128,11.586394751969525,119.51813060532326,117.42527421479153,66.812017485273,66.62864601098177,22.59933303458787,22.447107888486862,28.847997736939877,29.03300796071305,0.05713333333333334,0.04142150164576078,0.024675102374023927,0.017315415735027453,0.03933333333333334,0.04580753051109492
2000-07-01,61.92018414389497,61.132043128859536,40.92730297862241,40.40284463081996,12.362048853717223,11.616819474441812,119.0926921189746,117.04876051490658,67.57012756452296,67.12056968614606,22.513457596727314,22.53099897699193,28.925429238601225,29.30192150070061,0.06016666666666667,0.03996348187751217,0.025640018333005887,0.017633320928637976,0.04,0.04614008537212903
2000-10-01,62.100388873081855,61.37495933151488,41.17081858846262,40.63853797787738,12.30152834229494,11.638640352733692,118.33134839149868,116.62930822617605,68.26136734749888,67.60338321319877,22.59267412699741,22.61656802493274,29.108039845810694,29.571406568800835,0.06016666666666667,0.03838736726381303,0.02522517832040405,0.017943643154076795,0.039,0.046565027483818106
2001-01-01,61.74338743812125,61.605681877543,41.25156308959322,40.86584475285382,11.62503264622852,11.653880868035303,117.96563380109416,116.17478863212054,68.94620447015387,68.07573184222029,22.429530778224695,22.703884535338535,29.606686898486913,29.84027768313191,0.04816666666666666,0.03672166014043571,0.024492588958322736,0.018246436800673668,0.042333333333333334,0.04706727714297095
2001-04-01,61.9433987373101,61.82687228372421,41.15679778826512,41.08551931560624,11.530934035368539,11.664993039774503,116.4944476659296,115.69404138631799,69.40848547532067,68.5366492201675,22.633497829458772,22.7930041526083,30.083175792088483,30.107010161457456,0.0366,0.03500847490527935,0.02441500366225058,0.018546307217237303,0.044,0.047627026504219044
2001-07-01,61.49886227493584,62.041324185696325,41.02819973923271,41.298582529779154,11.286041234898896,11.67442690671833,114.68337066918872,115.19688979233275,69.81495187336849,68.98570324349895,22.65475010069545,22.883809644444327,30.540470026758516,30.369878247404966,0.0317,0.03329707908532198,0.018359868748643482,0.01885176359767494,0.04833333333333333,0.04822150900731277
2001-10-01,61.4723696324511,62.251947553083426,41.44487052926006,41.506127633218476,10.668341184523477,11.684558001428398,113.04344965779643,114.69349809613558,70.14535540253164,69.4230120517677,22.82024288953831,22.976081161075715,31.045652404857897,30.627085578065167,0.01906666666666667,0.03163773491072583,0.01305131655790559,0.019174983071171957,0.055,0.04882569120043741
2002-01-01,61.82377591347681,62.461351122454936,41.380478950928755,41.70910330456932,10.965623537338958,11.697523074596242,111.80182695387381,114.19354013962258,70.3554719765338,69.84923118256644,23.091860435126577,23.069450293760458,31.403890587576395,30.876890662580404,0.0172,0.030079706437224844,0.00762454473276275,0.019527835332633074,0.057,0.049414609521981984
2002-04-01,62.049665226428175,62.671685853868865,41.649398596164936,41.908441546343845,11.018134706192217,11.71480355587011,111.81461850655548,113.70549272900111,70.63695844675343,70.26549850476484,23.142144772505016,23.163444089599473,31.465968646847557,31.11776997343947,0.01713333333333333,0.02866440080290042,0.010361134456416732,0.019918362785392232,0.05833333333333333,0.04996715935333527
2002-07-01,62.110221333944516,62.8847286010389,41.8277511814476,42.10488650251702,10.931432656119016,11.737419447040118,111.06604424499335,113.23619112840461,70.881689171089,70.673307940083,23.237946630293333,23.25759593898964,31.81026205253505,31.348497898569285,0.016433333333333335,0.027425175329310655,0.015082559145447094,0.020347168276158456,0.05733333333333333,0.05046697694493479
2002-10-01,61.998636155812996,63.101887078550256,41.88545951050572,42.29903411653818,10.887764061888504,11.765954064323514,110.85945432124223,112.79118019919468,71.09311740786626,71.07443025224588,23.200089118280818,23.351418183455944,32.1779438677179,31.568048492163744,0.013333333333333332,0.026388180420845175,0.019399954883825954,0.02080888138393516,0.05866666666666667,0.05090292740595559
2003-01-01,61.87612427160255,63.32409823008459,41.90273197518124,42.49131722087132,10.854615889596854,11.800479824677607,109.49928688116977,112.37456816056822,70.99827882179066,71.47081381804647,23.351698145605937,23.44440295984027,32.31412920522827,31.775675976785003,0.011566666666666664,0.025572696580646134,0.02513945518673233,0.02129484130701908,0.05866666666666667,0.05126816731831549
2003-04-01,62.24053435023337,63.55161209642453,42.15178143186823,42.681915357971775,10.851666036840095,11.840504552564196,108.8507639001925,111.98920848467635,71.19210859797782,71.86446630002621,23.55760531685352,23.535938875165325,32.74320722690635,31.971017220608314,0.0104,0.024989845032425996,0.01861025239922043,0.021795506664644373,0.06133333333333333,0.05156070560097023
2003-07-01,63.06674059879457,63.78376074717249,42.643251427970185,42.87063831294664,11.146475279363328,11.884916292872024,108.64339685501338,111.63612706556432,71.35514778079529,72.25714246178471,23.88079612632123,23.625346923831387,33.10785115316609,32.154058196678946,0.009300000000000001,0.024641993231200976,0.020045946346524346,0.02230373895972001,0.06133333333333333,0.051783175234968254
2003-10-01,63.57563148285486,64.01903279308362,42.73638900525528,43.05695691910821,11.510087440612791,11.931941119832159,108.7924816303062,111.31438243431745,71.57878385442896,72.65020990390943,24.02571601237879,23.711952226516477,32.76286933553305,32.32528654060966,0.009166666666666667,0.024522389978842034,0.020297017530918726,0.022810408911239057,0.05833333333333333,0.051944317093690705
2004-01-01,63.91707529095912,64.25544058364427,43.14643957482598,43.24019001156925,11.547055466816023,11.979298888592718,109.21715018945073,111.02118175471561,72.10655572974099,73.04449309417609,24.03179034461424,23.795231232533176,32.77108174978431,32.48581196835584,0.009166666666666667,0.024614695331450637,0.020362598213850003,0.02330497611781135,0.057,0.05205884089933022
2004-04-01,64.23636581200202,64.49068683229163,43.20553148032791,43.41944328809827,11.998998658924162,12.024403009960427,109.00948212118973,110.75219593444723,72.45134784881111,73.44015261744177,24.14139489061396,23.874850947989486,33.1091295839884,32.63705583299724,0.010766666666666667,0.024892972018058138,0.026204811934768202,0.023775329308434012,0.05599999999999999,0.0521454495092292
2004-07-01,64.63600461114203,64.72222710553494,43.509818914362235,43.59375023962871,12.177171986191114,12.064351811709624,109.3477071953133,110.50202211927764,72.86814128711059,73.83675613045577,24.194099350261048,23.950624108854132,33.162354381892634,32.78065696639466,0.014866666666666665,0.02532162774978039,0.024495380628912544,0.024207518225914177,0.05433333333333334,0.05222593400516792
2004-10-01,65.08207615659845,64.94732087050686,43.892743856713615,43.76199619148287,12.417086412391063,12.09619443688826,109.56464736726733,110.26422341650486,73.30502824130541,74.23323302072775,24.278856750573336,24.022530068767498,33.234741482337135,32.918587026876565,0.020066666666666663,0.025856241296888613,0.028195148988468866,0.024589111039700445,0.05433333333333334,0.05232449456298344
2005-01-01,65.62399408469327,65.16313743734403,43.95601438346915,43.92299967477063,12.778417568631674,12.117033180286558,109.48499725822238,110.03170116820374,73.82561222542292,74.6278739386336,24.43200637278993,24.090702555619476,33.06603524662726,33.05309542162602,0.025366666666666666,0.026445857078977078,0.02625757775040949,0.024907855833243297,0.053,0.052466648483092876
2005-04-01,65.75698041567932,65.36689755889218,44.27580687429782,44.07564842989417,12.601546641645418,12.12417482040892,109.81430510712018,109.7969811728121,74.41328120393388,75.01834391805185,24.36606214815317,24.15543924834061,32.96502190619657,33.18666936479776,0.028633333333333334,0.027035901031496175,0.025832581120243114,0.02515375446371121,0.051000000000000004,0.052679168590144876
2005-07-01,66.05459295317485,65.55608311131313,44.57079551946461,44.218841117828056,12.721125243581163,12.11536340996552,109.79765222812357,109.55231215463257,74.89959424198159,75.40175150620112,24.423008704242754,24.21725586517241,33.02384028096451,33.32184541193697,0.0336,0.02757112459588859,0.03184020801323717,0.025317652364470856,0.049666666666666665,0.05298916105348611
