date,gdp,gdp_trend,consumption,consumption_trend,investment,investment_trend,hours,hours_trend,capital,capital_trend,tfp,tfp_trend
1968-01-01,35.90445994588121,35.60579639026776,21.17410316575479,21.10274672541839,6.012641918389373,6.013272501307333,111.25416052563884,111.84689655305,34.511036751417436,34.30738821986825,17.25527169724489,17.088088706762523
1968-04-01,36.38044594598183,35.78119360526021,21.415832494812673,21.215168073443483,6.1887454941565325,6.037358260270153,111.94071508978763,111.78305228377396,34.788671808188845,34.562220361593845,17.365480175929694,17.134203696433907
1968-07-01,36.51398184141528,35.94129848753709,21.740455318303265,21.321160127397675,5.978604091201908,6.05921527380904,112.26703200238416,111.6832710913744,35.07626053065547,34.81047072315615,17.346220511083068,17.177782267269897
1968-10-01,36.48334324684697,36.08639118262752,21.669868960716435,21.42056129994927,6.058760844563825,6.079234011394583,112.42849313625074,111.54741133135468,35.277220349091394,35.051612893457424,17.280894771856044,17.219124965493197
1969-01-01,36.88938480715097,36.217136786746416,21.79950342000917,21.513476808495632,6.401943417123435,6.097761318464165,112.96969714189787,111.37573022308206,35.50059155645462,35.28528240439363,17.380327452378626,17.258641629757307
1969-04-01,36.85016671437918,36.33447892255643,21.851715725537147,21.600177574109725,6.307900383614086,6.11513688572716,113.55165766495273,111.16906545081548,35.815757624723474,35.51125663725568,17.250513257038193,17.296785395742553
1969-07-01,36.935324284000295,36.43981003780554,21.82597963182307,21.681124839000443,6.367635045734214,6.13189178783244,113.61294975283387,110.92926829133187,36.08861579475957,35.72945240023056,17.238462153021196,17.334090041802355
1969-10-01,36.57828248973197,36.534874986533474,21.865853310921096,21.7569502230118,6.045237968814419,6.148682626499781,112.72293186649496,110.6596729697532,36.34641795730323,35.93998538595376,17.116621199755755,17.371065130417147
1970-01-01,36.335871541135205,36.621756834161815,21.834879199450143,21.828389903848112,5.811008725641992,6.166318685801257,111.69037156784667,110.36525800357789,36.50159358644343,36.14320866267952,17.079709887215788,17.40816447553496
1970-04-01,36.19358367495553,36.70259301220955,21.754975972213348,21.896261746181192,5.8138619407326395,6.185553147740655,109.6302098586368,110.05224082626488,36.587311013262216,36.33974662518914,17.205826127795213,17.445684895452747
1970-07-01,36.320397506934256,36.779363997484786,21.853993202603558,21.961400448994844,5.815763607728398,6.206919191917099,108.45977614383968,109.72760070625897,36.65762151775901,36.53046936365911,17.375315998555827,17.48371763245933
1970-10-01,35.72094370418871,36.85374737027338,21.662135421291154,22.024563185538177,5.4717678415446915,6.23071769766022,107.00065169028225,109.39797908469387,36.720302244795015,36.716426543490414,17.229347789970774,17.522203127129874
1971-01-01,36.48825709700515,36.927145408435436,21.831636695473176,22.08644912842734,6.0910943329348495,6.257001907329456,106.90625292290694,109.06914808994651,36.704543920966266,36.89877344846647,17.612192888167446,17.561013045747707
1971-04-01,36.4767417151433,37.000249889050906,21.869085426755674,22.147536136388887,6.225114152225136,6.285318179857666,106.64469425808083,108.74530510548627,36.83912862467432,37.078693580402806,17.612115554819567,17.59983251977299
1971-07-01,36.57442031376393,37.07348109479722,21.9134093862666,22.208146533218976,6.275206843788407,6.3151004006705085,106.05661731586,108.4292405513373,37.007986754448886,37.25727237802049,17.694519119801654,17.638375973784196
1971-10-01,36.4535024609152,37.146931812328184,22.10365514878932,22.2684301997713,6.076446363195612,6.3457344501763115,106.59134218917012,108.12239503731361,37.17788599359714,37.43546549856259,17.55030385250216,17.676363054481445
1972-01-01,36.7074879397266,37.22038028559019,22.041870974521633,22.328352261221127,6.352562261081866,6.376569285304991,106.5817730472394,107.82470320681009,37.08334272030171,37.614089517659224,17.689372293437096,17.71354623929366
1972-04-01,37.34364485729205,37.29316378822185,22.333721248465604,22.387773599322955,6.68799059858866,6.40676754269647,106.79273925259317,107.5351434101022,37.28501999272735,37.79381366825652,17.938735403954837,17.7495966538352
1972-07-01,37.49675344985806,37.364290411369346,22.540454211289028,22.44637252275498,6.772314055714636,6.435461002210404,106.82911148186803,107.25192902356568,37.56087899621499,37.97498269512923,17.961896116077767,17.78416779808661
1972-10-01,37.94380141044472,37.432792533670934,22.85649596710057,22.503790102672937,6.844511232643408,6.461940414827106,107.43236739436529,106.97282981671634,37.86718000586537,38.15762464123082,18.05823213285948,17.817028886291457
1973-01-01,38.683261357157456,37.49777890539291,23.16819824643692,22.55972294916608,7.141726070986201,6.485693953679326,108.48962486633403,106.69537562115984,38.16615912753429,38.34150522779005,18.243054788395085,17.84805887472093
