,deflator inflation - 1yr forecast,deflator inflation - 1yr actual,nominal interest - 1yr
1970-01-01,3.40982693021446,5.064387906241841,6.8975
1971-01-01,3.3754794587326495,4.3123657202960795,4.88
1972-01-01,3.5594322942828494,5.4781893285236745,4.96
1973-01-01,4.249566217361466,9.003625761798823,7.3116666666666665
1974-01-01,6.492398256392168,9.256445578650336,8.181666666666667
1975-01-01,6.246755763032047,5.526476797536068,6.758333333333334
1976-01-01,5.966827624831067,6.196473958899828,5.8741666666666665
1977-01-01,5.941588888487187,7.005167764079695,6.088333333333334
1978-01-01,6.608822348280763,8.326017715245797,8.34
1979-01-01,7.866548333953254,9.04166997285104,10.665000000000001
1980-01-01,8.960934341929205,9.47818068100188,12.048333333333334
1981-01-01,8.265561404271237,6.190728053865141,14.778333333333332
1982-01-01,6.180291724421294,3.899992552394999,12.275000000000002
1983-01-01,5.076742571297249,3.61886325361942,9.5725
1984-01-01,4.879398363799015,3.168884794993337,10.8875
1985-01-01,4.127396074198009,2.0198760336857413,8.425833333333333
1986-01-01,3.053177899353976,2.4633392301926014,6.4624999999999995
1987-01-01,3.8458681092346403,3.5224740379150523,6.764166666666666
1988-01-01,4.064300937660925,3.9298560721457485,7.6525
1989-01-01,4.359743841191916,3.7506170038711093,8.535
1990-01-01,4.121823925738294,3.378142923481831,7.8825
1991-01-01,3.355644948502734,2.277037803529841,5.858333333333333
1992-01-01,2.963660241544519,2.371554956003602,3.8891666666666667
1993-01-01,2.8553637596360426,2.134428056627291,3.434166666666667
1994-01-01,2.952504652896432,2.099464126182937,5.31
1995-01-01,2.6868089645104174,1.8299162524788026,5.948333333333332
1996-01-01,2.4836600006052034,1.725673959899976,5.5125
1997-01-01,2.4382646502927874,1.125076980735129,5.630000000000001
1998-01-01,2.042288472782033,1.442647720163709,5.051666666666667
1999-01-01,1.7413800649669076,2.235484926019354,5.0775
2000-01-01,2.209241276055324,2.199482024204924,6.1083333333333325
2001-01-01,2.0045434374428464,1.5800614426110804,3.4808333333333334
2002-01-01,1.8825451091395717,1.8511835442889202,2.001666666666667
2003-01-01,1.7733443733720489,2.690180750097487,1.2441666666666666
2004-01-01,1.8884277494615742,3.1155756573442717,1.8866666666666667
2005-01-01,2.160394297438273,3.032204724418186,3.618333333333333
2006-01-01,2.2783162880402608,2.6866638404918763,4.9325
2007-01-01,2.2333177815316017,1.9528594727539705,4.5216666666666665
2008-01-01,2.2012650560105484,0.7605257874853333,1.8225
2009-01-01,1.4154031340263329,1.1617813131626797,0.4708333333333333
2010-01-01,1.5530238014611397,2.089546730512637,0.31833333333333336
2011-01-01,1.7734482606252822,1.920043620474149,0.18166666666666667
2012-01-01,1.8844626391936792,1.752643854114283,0.17500000000000002
2013-01-01,1.8536218730180354,1.8899065526027437,0.13166666666666668
2014-01-01,1.8864116093001537,1.0741472582777245,0.12083333333333333
2015-01-01,1.8008182186735777,1.091351223710324,0.32166666666666666
2016-01-01,1.876611998850286,1.9003391587698704,0.6141666666666666
2017-01-01,2.013491836957393,2.2533379263970144,1.2008333333333334
2018-01-01,2.144374111415015,1.7865796234833864,2.331666666666667
