,interest 3mo,interest 6mo,interest 1yr,interest 10yr,deflator inflation - 3mo actual,deflator inflation - 6mo actual,deflator inflation - 1yr actual,cpi inflation - 3mo actual,cpi inflation - 6mo actual,cpi inflation - 1yr actual,cpi inflation - 10yr actual,cpi inflation - 1yr forecast,cpi inflation - 3mo forecast,cpi inflation - 6mo forecast,deflator inflation - 1yr forecast,cpi inflation - 10yr forecast,deflator inflation - 3mo forecast,deflator inflation - 6mo forecast
1983-01-01,8.106666666666667,8.176666666666668,8.86,10.563333333333333,50.397,3.6272000317479236,3.6232315415600125,98.0,4.285714285714226,4.625850340136073,3.8013819330370957,4.524537063558465,4.2,4.249988009591643,5.001173984503415,,4.508100493073464,4.742897393754397
1983-04-01,8.396666666666667,8.47,9.180000000000001,10.543333333333335,50.771,3.6595694392468125,3.7403242008233084,99.13333333333333,3.9677202420981494,4.404841963685291,3.757960620320322,4.724847795617859,4.5,4.549988043997399,4.823747680890533,,4.267161410018616,4.45269016697587
1983-07-01,9.14,9.306666666666667,10.296666666666665,11.626666666666667,51.311,3.5547933191713454,3.560640018709438,100.09999999999998,4.861804861804941,4.295704295704317,3.706603925106844,4.537491780337444,4.55,4.574997011714044,4.949355432780855,,4.604051565377532,4.7882136279926435
1983-10-01,8.799999999999999,8.976666666666667,9.953333333333333,11.686666666666666,51.7,3.752417794970997,3.5512572533849207,101.09999999999998,4.747774480712197,4.154302670623156,3.6895940508189895,5.1497981784181635,5.0,5.000000000000004,5.532693187014193,,5.669867398262518,5.4869684499314175
1984-01-01,9.17,9.283333333333333,10.176666666666666,11.943333333333333,52.223,3.5042031288895714,3.527181510062616,102.53333333333335,3.6410923276982476,3.641092327698292,3.598103905040073,4.8121160372282645,4.4,4.624758064236412,4.977375565610864,,4.615384615384599,4.524886877828038
1984-04-01,9.796666666666667,10.219999999999999,11.546666666666667,13.200000000000001,52.67,3.288399468388059,3.30928422251755,103.5,3.4782608695651973,3.607085346215788,3.560578997587971,5.299744894271319,5.0,5.124925683683612,5.3811659192825045,,5.381165919282527,5.291479820627787
1984-07-01,10.32,10.533333333333333,11.81,12.866666666666665,53.138,3.489028567127095,3.01667356693891,104.39999999999999,3.575989782886335,3.352490421455956,3.5662565093322662,4.949415567290649,4.4,4.649701385144911,4.745989304812848,,4.010695187165769,4.36720142602498
1984-10-01,8.803333333333335,8.986666666666666,10.016666666666666,11.743333333333334,53.536,3.276300059772863,2.822399880454274,105.3,3.6720481164925545,3.5137701804368593,3.538208055615044,4.424727597352707,4.1,4.199952015344022,4.413062665489842,,4.2365401588702944,4.413062665489864
1985-01-01,8.183333333333334,8.43,9.389999999999999,11.583333333333334,54.065,2.500693609544058,2.323129566262838,106.26666666666667,3.0740276035132297,3.105395232120456,3.5198442366742633,4.124247028368377,3.6,3.7998073215938177,3.992979376919692,,3.422553751645463,3.5980693286528975
1985-04-01,7.46,7.656666666666666,8.466666666666667,10.813333333333333,54.413,2.330325473691941,2.0546560564570937,107.23333333333333,3.294995337270734,1.6785825303077484,3.5106266110950024,4.349730358639925,4.0,4.149891982661225,4.329004329004338,,4.0692640692640225,4.19913419913418
1985-07-01,7.1066666666666665,7.263333333333333,7.993333333333333,10.336666666666666,54.741,2.1190698014285303,1.8578396448731382,107.90000000000002,3.089280197713906,1.6682113067655102,3.4988256695397624,4.249748016644617,3.9,4.049891878848189,4.2132416165090225,,3.6113499570077146,3.869303525365453
1985-10-01,7.166666666666667,7.256666666666667,7.853333333333334,9.76,55.047,1.7584972841389934,1.8438788671498951,109.0,0.061162079510745926,1.3455657492354778,3.4513523752808695,3.849650937709437,3.5,3.599951737440499,3.9743589743589824,,3.9316239316239177,3.589743589743577
1986-01-01,6.896666666666666,6.946666666666666,7.456666666666667,8.556666666666667,55.321,1.5798702120352281,1.982972108240988,109.56666666666668,0.24338302403403844,2.0383328262853606,3.4883422049853507,3.5870996111421416,3.2,3.3498911465319248,3.3333333333333215,,2.456140350877245,3.157894736842115
1986-04-01,6.140000000000001,6.18,6.6066666666666665,7.603333333333333,55.531,1.9124453008229736,2.301417226414082,109.03333333333335,2.629165392846211,3.6991745643534024,3.6239496017808293,3.4112499129253626,2.6,2.9992232980424083,3.1523642732048884,,2.8021015761821033,2.9772329246935403
1986-07-01,5.523333333333333,5.586666666666666,5.989999999999999,7.306666666666666,55.758,2.3673732917249612,2.65612109473079,109.7,3.828623518687335,4.162868429048916,3.6203398126599673,3.499903381507208,3.3,3.3999516440892608,2.615518744550993,,1.7436791630339954,2.4411508282475847
1986-10-01,5.353333333333333,5.406666666666666,5.796666666666667,7.263333333333333,56.062,2.6649067104277613,2.9128464913845464,110.46666666666668,4.707302353651155,4.405552202776075,3.637355860954905,3.624779854811244,3.35,3.4249728063778573,3.111495246326701,,2.938634399308526,2.8522039757994833
1987-01-01,5.536666666666666,5.543333333333334,5.923333333333333,7.1933333333333325,56.418,2.9104186607111338,3.0646247651458847,111.8,4.412641621943969,3.9654144305307115,3.5775837008183764,3.8997349043809804,3.5,3.7496987947434945,3.70370370370372,,3.273040482342804,3.4453057708871526
1987-04-01,5.656666666666666,5.9799999999999995,6.766666666666667,8.343333333333334,56.809,3.119224066609183,3.351581615589083,113.06666666666666,4.009433962264142,3.979952830188682,3.487073841474597,4.362473793868782,4.35,4.3749970059879795,3.918228279386704,,3.7478705281089653,3.9182282793867262
1987-07-01,6.043333333333334,6.183333333333334,7.126666666666668,8.876666666666667,57.239,3.172661996191417,3.8016038016038145,114.26666666666667,3.4422403733955775,4.142357059509916,3.4308947874226448,4.499928183804536,4.3,4.449892292907598,4.142011834319526,,4.057480980557937,4.142011834319526
1987-10-01,5.863333333333333,6.413333333333334,7.239999999999999,9.123333333333333,57.695,3.5289019845740732,3.872085969321426,115.33333333333333,3.8728323699421807,4.306358381502884,3.391397378922356,4.374919147285206,4.5,4.349892189690352,3.6195286195286114,,3.367003367003374,3.367003367003374
1988-01-01,5.723333333333333,6.03,6.78,8.416666666666666,58.147,4.361360001375836,4.13778870792989,116.23333333333333,4.76053914539718,4.674505305420129,3.3337826230303236,4.199706438188255,3.95,3.999987980768549,3.760969494358535,,3.343083994985374,3.6773923944839026
