date,real monetary base [billions of 2012 dollars],GDP deflator inflation,change in real monetary base [billions of 2012 dollars],inflation tax revenue [billions of 2012 dollars],total seigniorage [billions of 2012 dollars]
1959-01-01,0.30776890406226504,,,,
1960-01-01,0.30076582265792584,0.013656038529537229,-0.007003081404339195,0.004146282222285867,-0.0028567991820533283
1961-01-01,0.2934321193366659,0.010645335899440722,,,
1962-01-01,0.29944931114899953,0.01219947631516316,,,
1963-01-01,0.3048225218941331,0.011464518784173094,,,
1964-01-01,0.3159471735562426,0.01522901650778885,,,
1965-01-01,0.3267082724240039,0.018321309973663213,,,
1966-01-01,0.3365419674761176,0.02799955020802858,,,
1967-01-01,0.3436531136504562,0.02904178516735967,,,
1968-01-01,0.353707857531267,0.04257241562583047,,,
1969-01-01,0.3580279910584119,0.049041598694942845,,,
1970-01-01,0.3580605948699011,0.052726212459908606,,,
1971-01-01,0.36581436897753566,0.05073166228130921,,,
1972-01-01,0.3751509026081586,0.04322994464458296,,,
1973-01-01,0.3779561091814056,0.05478817485050125,,,
1974-01-01,0.3796564228416542,0.08999081726354441,,,
1975-01-01,0.36396348072904444,0.09259734075674886,,,
1976-01-01,0.36456843866840366,0.05504710181367134,,,
1977-01-01,0.3678523704102595,0.06212068253312575,,,
1978-01-01,0.3762088434233328,0.07036438700412839,,,
1979-01-01,0.38096405650475745,0.08295600648443191,,,
1980-01-01,0.37549906105509007,0.09033190522892687,,,
1981-01-01,0.3548464992899826,0.09461250769303597,,,
1982-01-01,0.3509674134419552,0.061782323811171436,,,
1983-01-01,0.35951107017096867,0.03916496945010195,,,
1984-01-01,0.3694227956012913,0.03608176704623389,,,
1985-01-01,0.3863655811451763,0.031628329297821,,,
1986-01-01,0.41512384513067546,0.020133489804899485,,,
1987-01-01,0.44443957200491147,0.0247330768954237,,,
1988-01-01,0.46097999017298924,0.035274513243290784,,,
1989-01-01,0.46222928724762913,0.039206384168346764,,,
1990-01-01,0.4746638169026627,0.0374337653868102,,,
1991-01-01,0.48428165331468614,0.03381999339944364,,,
1992-01-01,0.5080853720162897,0.022787042244956757,,,
1993-01-01,0.5470742531372349,0.023706191849231617,,,
1994-01-01,0.5851469619647367,0.021342392961365864,,,
1995-01-01,0.6042980660791112,0.020981704976757998,,,
1996-01-01,0.612757162259473,0.018308898263787565,,,
1997-01-01,0.6345515396712321,0.01724137931034475,,,
1998-01-01,0.6680312616300706,0.011250151211709802,,,
1999-01-01,0.7232904302540979,0.014088999946834102,,,
2000-01-01,0.7501335042187331,0.022661738492188332,,,
2001-01-01,0.7751755804285793,0.022531239987183538,,,
2002-01-01,0.8312660956565382,0.015579760099269313,,,
2003-01-01,0.8672012102874432,0.01973440623997247,,,
2004-01-01,0.8872073516180868,0.02684417549167928,,,
2005-01-01,0.8943876851343938,0.03136381316077941,,,
2006-01-01,0.8996552259323313,0.0308557323093801,,,
2007-01-01,0.8928815584004377,0.027027626269344962,,,
2008-01-01,1.0456581832046519,0.019181364823730007,,,
2009-01-01,1.8684490234046134,0.006407608638091977,,,
2010-01-01,2.090127141262678,0.012018016501094353,,,
2011-01-01,2.5645942843948224,0.02077657384106657,,,
2012-01-01,2.641116666666666,0.01870339431970991,,,
2013-01-01,3.195742547984786,0.017510000000000137,,,
2014-01-01,3.7881155896862,0.01870251889416319,,,
2015-01-01,3.7963546691374295,0.0100044378412798,,,
2016-01-01,3.5588156484458735,0.010019963511667562,,,
2017-01-01,3.5364287990298444,0.018999432570455888,,,
2018-01-01,3.2999362570502417,0.02403734605425578,,,
2019-01-01,2.9393626429720374,0.017935634725708915,,,
2020-01-01,4.055996449412922,0.013052226713438753,,,
2021-01-01,5.090710290592541,0.04491844196020511,,,
2022-01-01,4.45115177429835,0.07005340846965824,,,
